Marvel's+The+Avengers,,,,,,,,,,,,
Cloud Atlas, 2012, 26 Oct 2012, English, 172, David Mitchell (novel)  Lana Wachowski (written for the screen by)  Tom Tykwer (written for the screen by)  Andy Wachowski (written for the screen by), Tom Tykwer  Andy Wachowski  Lana Wachowski, 7.5, R, tt1371111, 254593, Drama  Sci-Fi, Nominated for 1 Golden Globe. Another 17 wins & 60 nominations.
Savages, 2012, 6 Jul 2012, English, 131, Shane Salerno (screenplay)  Don Winslow (screenplay)  Oliver Stone (screenplay)  Don Winslow (novel), Oliver Stone, 6.5, R, tt1615065, 95494, Crime  Drama  Thriller, 6 nominations.
Battleship, 2012, 18 May 2012, English, 131, Jon Hoeber  Erich Hoeber, Peter Berg, 5.9, PG-13, tt1440129, 182814, Action  Adventure  Sci-Fi, 3 wins & 14 nominations.
The+Intouchables,,,,,,,,,,,,
Flight, 2012, 2 Nov 2012, English, 138, John Gatins, Robert Zemeckis, 7.3, R, tt1907668, 236401, Drama  Thriller, Nominated for 2 Oscars. Another 13 wins & 37 nominations.
The First Time, 2012, 7 Feb 2013, English, 95, Jon Kasdan, Jon Kasdan, 7.0, PG-13, tt1763303, 35091, Comedy  Drama  Romance, 1 nomination.
Snow White and the Huntsman, 2012, 1 Jun 2012, English, 127, Evan Daugherty (screenplay)  John Lee Hancock (screenplay)  Hossein Amini (screenplay)  Evan Daugherty (screen story), Rupert Sanders, 6.1, PG-13, tt1735898, 200670, Action  Drama  Fantasy, Nominated for 2 Oscars. Another 13 wins & 30 nominations.
Men in Black 3, 2012, 25 May 2012, English, 106, Etan Cohen  Lowell Cunningham (based on the Malibu comic by), Barry Sonnenfeld, 6.9, PG-13, tt1409024, 231455, Action  Comedy  Sci-Fi, 1 win & 13 nominations.
End of Watch, 2012, 21 Sep 2012, English, 109, David Ayer, David Ayer, 7.7, R, tt1855199, 157941, Crime  Drama  Thriller, 4 wins & 9 nominations.
Moonrise Kingdom, 2012, 29 Jun 2012, English, 94, Wes Anderson  Roman Coppola, Wes Anderson, 7.8, PG-13, tt1748122, 205825, Adventure  Comedy  Drama, Nominated for 1 Oscar. Another 47 wins & 91 nominations.
Marvel's+The+Avengers,,,,,,,,,,,,
Pitch Perfect, 2012, 5 Oct 2012, English, 112, Kay Cannon (screenplay)  Mickey Rapkin (based on the book by), Jason Moore, 7.3, PG-13, tt1981677, 164249, Comedy  Music  Romance, 6 wins & 18 nominations.
Magic Mike, 2012, 29 Jun 2012, English, 110, Reid Carolin, Steven Soderbergh, 6.1, R, tt1915581, 89099, Comedy  Drama, 9 wins & 12 nominations.
The Dark Knight Rises, 2012, 20 Jul 2012, English, 165, Jonathan Nolan (screenplay)  Christopher Nolan (screenplay)  Christopher Nolan (story)  David S. Goyer (story)  Bob Kane (characters), Christopher Nolan, 8.5, PG-13, tt1345836, 947552, Action  Thriller, Nominated for 1 BAFTA Film Award. Another 43 wins & 82 nominations.
The Hunger Games, 2012, 23 Mar 2012, English, 142, Gary Ross (screenplay)  Suzanne Collins (screenplay)  Billy Ray (screenplay)  Suzanne Collins (novel), Gary Ross, 7.3, PG-13, tt1392170, 609997, Adventure  Sci-Fi, Nominated for 1 Golden Globe. Another 32 wins & 40 nominations.
Django Unchained, 2012, 25 Dec 2012, English, 165, Quentin Tarantino, Quentin Tarantino, 8.5, R, tt1853728, 763566, Western, Won 2 Oscars. Another 62 wins & 98 nominations.
The Making of Dredd 3D, 2012, 12 Dec 2012, English, N/A, N/A, Jon Mefford  Mac Kenny, 7.5, N/A, tt2422322, 6, Sci-Fi, N/A
The Twilight Saga: Breaking Dawn - Part 2, 2012, 16 Nov 2012, English, 115, Melissa Rosenberg (screenplay)  Stephenie Meyer (novel), Bill Condon, 5.6, PG-13, tt1673434, 163141, Adventure  Drama  Fantasy, 19 wins & 11 nominations.
Silver Linings Playbook, 2012, 25 Dec 2012, English, 122, David O. Russell (screenplay)  Matthew Quick (novel), David O. Russell, 7.8, R, tt1045658, 459550, Comedy  Drama  Romance, Won 1 Oscar. Another 91 wins & 117 nominations.
Sinister, 2012, 12 Oct 2012, English, 110, Scott Derrickson  C. Robert Cargill, Scott Derrickson, 6.8, R, tt1922777, 117832, Horror  Mystery, 5 wins & 10 nominations.
The Perks of Being a Wallflower, 2012, 12 Oct 2012, English, 102, Stephen Chbosky (screenplay)  Stephen Chbosky (book), Stephen Chbosky, 8.1, PG-13, tt1659337, 294624, Drama  Romance, 21 wins & 39 nominations.
The Hobbit: An Unexpected Journey, 2012, 14 Dec 2012, English, 169, Fran Walsh (screenplay)  Philippa Boyens (screenplay)  Peter Jackson (screenplay)  Guillermo del Toro (screenplay)  J.R.R. Tolkien (novel), Peter Jackson, 8.0, PG-13, tt0903624, 552675, Adventure  Fantasy, Nominated for 3 Oscars. Another 12 wins & 58 nominations.
Prometheus, 2012, 8 Jun 2012, English, 124, Jon Spaihts  Damon Lindelof  Dan O'Bannon (elements)  Ronald Shusett (elements), Ridley Scott, 7.0, R, tt1446714, 405691, Adventure  Mystery  Sci-Fi, Nominated for 1 Oscar. Another 6 wins & 33 nominations.
21 Jump Street, 2012, 16 Mar 2012, English, 109, Michael Bacall (screenplay)  Michael Bacall (story)  Jonah Hill (story)  Patrick Hasburgh (television series)  Stephen J. Cannell (television series), Phil Lord  Christopher Miller, 7.2, R, tt1232829, 347321, Action  Comedy  Crime, 8 wins & 20 nominations.
Ted, 2012, 29 Jun 2012, English, 106, Seth MacFarlane (screenplay)  Alec Sulkin (screenplay)  Wellesley Wild (screenplay)  Seth MacFarlane (story), Seth MacFarlane, 7.0, R, tt1637725, 405767, Comedy  Fantasy, Nominated for 1 Oscar. Another 13 wins & 26 nominations.
The Amazing Spider-Man, 2012, 3 Jul 2012, English, 136, James Vanderbilt (screenplay)  Alvin Sargent (screenplay)  Steve Kloves (screenplay)  James Vanderbilt (story)  Stan Lee (based on the Marvel comic book by)  Steve Ditko (based on the Marvel comic book by), Marc Webb, 7.1, PG-13, tt0948470, 384812, Action  Adventure  Fantasy, 4 wins & 29 nominations.
Wolverine vs. Gladiator in: Les Miserables, 2012, N/A, English, 5, N/A, Matthew Campagna, N/A, N/A, tt2575972, N/A, Short  Action  History, N/A
Skyfall, 2012, 9 Nov 2012, English, 143, Neal Purvis  Robert Wade  John Logan, Sam Mendes, 7.8, PG-13, tt1074638, 440671, Action  Thriller, Won 2 Oscars. Another 66 wins & 94 nominations.
Anna Karenina, 2012, 7 Sep 2012, English, 129, Tom Stoppard (screenplay)  Leo Tolstoy (novel), Joe Wright, 6.6, R, tt1781769, 59817, Drama  Romance, Won 1 Oscar. Another 25 wins & 47 nominations.
The Cabin in the Woods, 2012, 13 Apr 2012, English, 95, Joss Whedon  Drew Goddard, Drew Goddard, 7.0, R, tt1259521, 238341, Horror  Mystery  Thriller, 17 wins & 26 nominations.
Cloud Atlas, 2012, 26 Oct 2012, English, 172, David Mitchell (novel)  Lana Wachowski (written for the screen by)  Tom Tykwer (written for the screen by)  Andy Wachowski (written for the screen by), Tom Tykwer  Andy Wachowski  Lana Wachowski, 7.5, R, tt1371111, 254593, Drama  Sci-Fi, Nominated for 1 Golden Globe. Another 17 wins & 60 nominations.
Savages, 2012, 6 Jul 2012, English, 131, Shane Salerno (screenplay)  Don Winslow (screenplay)  Oliver Stone (screenplay)  Don Winslow (novel), Oliver Stone, 6.5, R, tt1615065, 95494, Crime  Drama  Thriller, 6 nominations.
Battleship, 2012, 18 May 2012, English, 131, Jon Hoeber  Erich Hoeber, Peter Berg, 5.9, PG-13, tt1440129, 182814, Action  Adventure  Sci-Fi, 3 wins & 14 nominations.
The+Intouchables,,,,,,,,,,,,
Flight, 2012, 2 Nov 2012, English, 138, John Gatins, Robert Zemeckis, 7.3, R, tt1907668, 236401, Drama  Thriller, Nominated for 2 Oscars. Another 13 wins & 37 nominations.
The First Time, 2012, 7 Feb 2013, English, 95, Jon Kasdan, Jon Kasdan, 7.0, PG-13, tt1763303, 35091, Comedy  Drama  Romance, 1 nomination.
Snow White and the Huntsman, 2012, 1 Jun 2012, English, 127, Evan Daugherty (screenplay)  John Lee Hancock (screenplay)  Hossein Amini (screenplay)  Evan Daugherty (screen story), Rupert Sanders, 6.1, PG-13, tt1735898, 200670, Action  Drama  Fantasy, Nominated for 2 Oscars. Another 13 wins & 30 nominations.
Men in Black 3, 2012, 25 May 2012, English, 106, Etan Cohen  Lowell Cunningham (based on the Malibu comic by), Barry Sonnenfeld, 6.9, PG-13, tt1409024, 231455, Action  Comedy  Sci-Fi, 1 win & 13 nominations.
End of Watch, 2012, 21 Sep 2012, English, 109, David Ayer, David Ayer, 7.7, R, tt1855199, 157941, Crime  Drama  Thriller, 4 wins & 9 nominations.
Moonrise Kingdom, 2012, 29 Jun 2012, English, 94, Wes Anderson  Roman Coppola, Wes Anderson, 7.8, PG-13, tt1748122, 205825, Adventure  Comedy  Drama, Nominated for 1 Oscar. Another 47 wins & 91 nominations.
After, 2012, 14 Sep 2012, English, 90, Jason Parish (story)  Ryan Smith (story)  Ryan Smith, Ryan Smith, 5.5, PG-13, tt1799508, 844, Mystery  Thriller, N/A
Looper, 2012, 28 Sep 2012, English, 119, Rian Johnson, Rian Johnson, 7.5, R, tt1276104, 372957, Action  Crime  Sci-Fi, 14 wins & 36 nominations.
Lawless, 2012, 29 Aug 2012, English, 116, Nick Cave (screenplay)  Matt Bondurant (novel), John Hillcoat, 7.3, R, tt1212450, 157370, Crime  Drama, 1 win & 7 nominations.
Wreck-It Ralph, 2012, 2 Nov 2012, English, 101, Rich Moore (story)  Phil Johnston (story)  Jim Reardon (story)  Phil Johnston (screenplay)  Jennifer Lee (screenplay)  John C. Reilly (additional story material)  Sam J. Levine (additional story material)  Jared Stern (additional story material), Rich Moore, 7.8, PG, tt1772341, 224458, Animation  Adventure  Comedy, Nominated for 1 Oscar. Another 33 wins & 36 nominations.
Jack Reacher, 2012, 21 Dec 2012, English, 130, Lee Child (based on the book "One Shot" by)  Christopher McQuarrie (written for the screen by), Christopher McQuarrie, 7.0, PG-13, tt0790724, 193750, Action  Mystery  Thriller, 1 win & 4 nominations.
Argo, 2012, 12 Oct 2012, English, 120, Chris Terrio (screenplay)  Tony Mendez (based on a selection from "The Master of Disguise" by)  Joshuah Bearman (based on the Wired Magazine article "The Great Escape" by), Ben Affleck, 7.8, R, tt1024648, 386942, Drama  Thriller, Won 3 Oscars. Another 92 wins & 119 nominations.
The Impossible, 2012, 4 Jan 2013, English, 114, Sergio G. Sánchez  María Belón (story), J.A. Bayona, 7.6, PG-13, tt1649419, 128410, Drama  Thriller, Nominated for 1 Oscar. Another 27 wins & 61 nominations.
The Three Stooges, 2012, 13 Apr 2012, English, 92, Mike Cerrone  Bobby Farrelly  Peter Farrelly, Bobby Farrelly  Peter Farrelly, 5.1, PG, tt0383010, 23714, Comedy, 4 nominations.
What to Expect When You're Expecting, 2012, 18 May 2012, English, 110, Shauna Cross (screenplay)  Heather Hach (screenplay)  Heidi Murkoff (books), Kirk Jones, 5.7, PG-13, tt1586265, 51143, Comedy  Drama  Romance, 14 nominations.
Dark Shadows, 2012, 11 May 2012, English, 113, Seth Grahame-Smith (screenplay)  John August (story)  Seth Grahame-Smith (story)  Dan Curtis (television series), Tim Burton, 6.2, PG-13, tt1077368, 175802, Comedy  Horror, 2 wins & 11 nominations.
That's My Boy, 2012, 15 Jun 2012, English, 116, David Caspe, Sean Anders, 5.6, R, tt1232200, 62225, Comedy, 6 wins & 10 nominations.
Chronicle, 2012, 3 Feb 2012, English, 84, Max Landis (screenplay)  Max Landis (story)  Josh Trank (story), Josh Trank, 7.1, PG-13, tt1706593, 181352, Drama  Sci-Fi  Thriller, 1 win & 6 nominations.
Lincoln, 2012, 16 Nov 2012, English, 150, Tony Kushner (screenplay)  Doris Kearns Goodwin (book), Steven Spielberg, 7.4, PG-13, tt0443272, 176311, Biography  Drama  History, Won 2 Oscars. Another 121 wins & 191 nominations.
The Lucky One, 2012, 20 Apr 2012, English, 101, Will Fetters (screenplay)  Nicholas Sparks (novel), Scott Hicks, 6.5, PG-13, tt1327194, 60220, Drama  Romance, 6 wins & 7 nominations.
John Carter, 2012, 9 Mar 2012, English, 132, Andrew Stanton (screenplay)  Mark Andrews (screenplay)  Michael Chabon (screenplay)  Edgar Rice Burroughs (story), Andrew Stanton, 6.6, PG-13, tt0401729, 190418, Action  Adventure  Fantasy, 2 wins & 6 nominations.
This Means War, 2012, 17 Feb 2012, English, 103, Timothy Dowling (screenplay)  Simon Kinberg (screenplay)  Timothy Dowling (story)  Marcus Gautesen (story), McG, 6.4, PG-13, tt1596350, 129846, Action  Comedy  Romance, 1 win & 6 nominations.
Project X, 2012, 2 Mar 2012, English, 88, Matt Drake (screenplay)  Michael Bacall (screenplay)  Michael Bacall (story), Nima Nourizadeh, 6.7, R, tt1636826, 139753, Comedy  Crime, 4 nominations.
Journey 2: The Mysterious Island, 2012, 10 Feb 2012, English, 94, Brian Gunn (screenplay)  Mark Gunn (screenplay)  Richard Outten (story)  Brian Gunn (story)  Mark Gunn (story)  Jules Verne (novel), Brad Peyton, 5.8, PG, tt1397514, 58694, Action  Adventure  Comedy, 3 wins & 4 nominations.
The Bourne Legacy, 2012, 10 Aug 2012, English, 135, Tony Gilroy (screenplay)  Dan Gilroy (screenplay)  Tony Gilroy (story), Tony Gilroy, 6.7, PG-13, tt1194173, 199435, Action  Adventure  Mystery, 1 win & 11 nominations.
The+Best+Exotic+Marigold+Hotel,,,,,,,,,,,,
Total Recall, 2012, 3 Aug 2012, English, 118, Kurt Wimmer (screenplay)  Mark Bomback (screenplay)  Ronald Shusett (screen story by)  Dan O'Bannon (screen story by)  Jon Povill (screen story by)  Kurt Wimmer (screen story by)  Ronald Shusett (based on the motion picture "Total Recall"   screenplay by)  Dan O'Bannon (based on the motion picture "Total Recall"   screenplay by)  Gary Goldman (based on the motion picture "Total Recall"   screenplay by)  Ronald Shusett (based on the motion picture "Total Recall"   screen story by)  Dan O'Bannon (based on the motion picture "Total Recall"   screen story by)  Jon Povill (based on the motion picture "Total Recall"   screen story by), Len Wiseman, 6.3, PG-13, tt1386703, 183100, Action  Adventure  Mystery, 1 win & 5 nominations.
Resident Evil: Retribution, 2012, 14 Sep 2012, English, 96, Paul W.S. Anderson, Paul W.S. Anderson, 5.3, R, tt1855325, 93077, Action  Horror  Sci-Fi, 3 wins & 4 nominations.
The Dictator, 2012, 16 May 2012, English, 83, Sacha Baron Cohen  Alec Berg  David Mandel  Jeff Schaffer, Larry Charles, 6.4, R, tt1645170, 186767, Comedy, 1 win & 1 nomination.
The Vow, 2012, 10 Feb 2012, English, 104, Jason Katims  Abby Kohn (screenplay)  Stuart Sender (story)  Marc Silverstein (screenplay), Michael Sucsy, 6.8, PG-13, tt1606389, 120512, Drama  Romance, 3 wins & 16 nominations.
Life of Pi, 2012, 21 Nov 2012, English, 127, Yann Martel (novel)  David Magee (screenplay), Ang Lee, 8.0, PG, tt0454876, 369215, Adventure  Drama, Won 4 Oscars. Another 75 wins & 103 nominations.
This Is 40, 2012, 21 Dec 2012, English, 134, Judd Apatow  Judd Apatow (based on characters created by), Judd Apatow, 6.2, R, tt1758830, 93374, Comedy, 2 wins & 10 nominations.
Silent Hill: Revelation 3D, 2012, 26 Oct 2012, English, 95, Michael J. Bassett  Laurent Hadida (adaptation), Michael J. Bassett, 5.0, R, tt0938330, 44383, Horror  Mystery  Thriller, 1 win & 6 nominations.
Wrath of the Titans, 2012, 30 Mar 2012, English, 99, Dan Mazeau (screenplay)  David Johnson (screenplay)  Greg Berlanti (story)  David Johnson (story)  Dan Mazeau (story)  Beverley Cross, Jonathan Liebesman, 5.8, PG-13, tt1646987, 136799, Action  Adventure  Fantasy, 2 wins & 2 nominations.
Rock of Ages, 2012, 15 Jun 2012, English, 123, Justin Theroux (screenplay)  Chris D'Arienzo (screenplay)  Allan Loeb (screenplay)  Chris D'Arienzo (musical book), Adam Shankman, 5.9, PG-13, tt1336608, 56269, Comedy  Drama  Musical, 1 win & 9 nominations.
Brave, 2012, 22 Jun 2012, English, 93, Brenda Chapman (story)  Mark Andrews (screenplay)  Steve Purcell (screenplay)  Brenda Chapman (screenplay)  Irene Mecchi (screenplay)  Michael Arndt (additional screenplay material), Mark Andrews  Brenda Chapman  Steve Purcell, 7.2, PG, tt1217209, 222521, Animation  Adventure  Comedy, Won 1 Oscar. Another 19 wins & 42 nominations.
The Master, 2012, 21 Sep 2012, English, 144, Paul Thomas Anderson, Paul Thomas Anderson, 7.1, R, tt1560747, 89503, Drama, Nominated for 3 Oscars. Another 93 wins & 128 nominations.
Taken 2, 2012, 5 Oct 2012, English, 92, Luc Besson  Robert Mark Kamen  Luc Besson (based on characters created by)  Robert Mark Kamen (based on characters created by), Olivier Megaton, 6.3, PG-13, tt1397280, 199630, Action  Thriller, 1 win & 3 nominations.
The Woman in Black, 2012, 3 Feb 2012, English, 95, Susan Hill (novel)  Jane Goldman (screenplay), James Watkins, 6.5, PG-13, tt1596365, 124070, Drama  Horror  Thriller, 7 wins & 9 nominations.
Hotel Transylvania, 2012, 28 Sep 2012, English, 91, Peter Baynham (screenplay)  Robert Smigel (screenplay)  Todd Durham (story)  Dan Hageman (story)  Kevin Hageman (story), Genndy Tartakovsky, 7.1, PG, tt0837562, 124824, Animation  Comedy  Family, Nominated for 1 Golden Globe. Another 3 wins & 14 nominations.
American Reunion, 2012, 6 Apr 2012, English, 113, Jon Hurwitz (screenplay)  Hayden Schlossberg (screenplay)  Adam Herz (characters), Jon Hurwitz  Hayden Schlossberg, 6.8, R, tt1605630, 155972, Comedy, 1 win & 3 nominations.
The Man with the Iron Fists, 2012, 2 Nov 2012, English, 95, RZA (story)  RZA (screenplay)  Eli Roth (screenplay), RZA, 5.4, R, tt1258972, 49764, Action, 3 nominations.
Red Dawn, 2012, 21 Nov 2012, English, 93, Carl Ellsworth (screenplay)  Jeremy Passmore (screenplay)  Kevin Reynolds  John Milius  Kevin Reynolds (story), Dan Bradley, 5.4, PG-13, tt1234719, 56538, Action  Thriller  War, 2 wins & 4 nominations.
Think Like a Man, 2012, 20 Apr 2012, English, 122, Keith Merryman (screenplay)  David A. Newman (screenplay)  Steve Harvey (book), Tim Story, 6.6, PG-13, tt1621045, 30379, Comedy  Romance, 3 wins & 13 nominations.
Here Comes the Boom, 2012, 12 Oct 2012, English, 105, Allan Loeb  Kevin James, Frank Coraci, 6.5, PG, tt1648179, 67566, Action  Comedy  Sport, 3 nominations.
Seven Psychopaths, 2012, 12 Oct 2012, English, 110, Martin McDonagh, Martin McDonagh, 7.2, R, tt1931533, 162078, Comedy  Crime, 3 wins & 19 nominations.
The Expendables 2, 2012, 17 Aug 2012, English, 103, Richard Wenk (screenplay)  Sylvester Stallone (screenplay)  Ken Kaufman (story)  David Agosto (story)  Richard Wenk (story)  Dave Callaham (characters), Simon West, 6.7, R, tt1764651, 221067, Action  Adventure  Thriller, 3 wins & 5 nominations.
The+Raid:+Redemption,,,,,,,,,,,,
Mirror Mirror, 2012, 30 Mar 2012, English, 106, Marc Klein (screenplay)  Jason Keller (screenplay)  Melisa Wallack (screen story), Tarsem Singh, 5.6, PG, tt1667353, 64460, Adventure  Comedy  Drama, Nominated for 1 Oscar. Another 2 wins & 6 nominations.
Underworld: Awakening, 2012, 20 Jan 2012, English, 88, Len Wiseman (screenplay)  John Hlavin (screenplay)  J. Michael Straczynski (screenplay)  Allison Burnett (screenplay)  Len Wiseman (story)  John Hlavin (story)  Kevin Grevioux (characters)  Len Wiseman (characters)  Danny McBride (characters), Måns Mårlind  Björn Stein, 6.4, R, tt1496025, 103236, Action  Fantasy  Horror, 1 win.
The Paperboy, 2012, 17 Oct 2012, English, 107, Peter Dexter (screenplay)  Lee Daniels (screenplay)  Peter Dexter (based on the novel by), Lee Daniels, 5.7, R, tt1496422, 25520, Drama  Thriller, Nominated for 1 Golden Globe. Another 6 wins & 11 nominations.
The Pact, 2012, 8 Jun 2012, English, 89, Nicholas McCarthy, Nicholas McCarthy, 5.8, R, tt2040560, 16452, Horror  Mystery  Thriller, 2 nominations.
Safe House, 2012, 10 Feb 2012, English, 115, David Guggenheim, Daniel Espinosa, 6.8, R, tt1599348, 148107, Action  Crime  Mystery, 1 win & 7 nominations.
Rust and Bone, 2012, 17 May 2012, French, 120, Jacques Audiard (screenplay)  Thomas Bidegain (screenplay)  Craig Davidson (story), Jacques Audiard, 7.5, R, tt2053425, 39678, Drama  Romance, Nominated for 2 Golden Globes. Another 34 wins & 63 nominations.
Ghost+Rider+Spirit+of+Vengeance,,,,,,,,,,,,
Step Up Revolution, 2012, 27 Jul 2012, English, 99, Amanda Brody  Duane Adler (based on characters created by), Scott Speer, 6.5, PG-13, tt1800741, 39724, Drama  Music  Romance, N/A
LOL, 2012, 1 Mar 2012, English, 97, Lisa Azuelos (screenplay)  Kamir Aïnouz (screenplay)  Lisa Azuelos (film "LOL [Laughing Out Loud]®")  Nans Delgado (film "LOL [Laughing Out Loud]®"), Lisa Azuelos, 4.2, PG-13, tt1592873, 40199, Comedy  Drama  Romance, 1 nomination.
Rise of the Guardians, 2012, 21 Nov 2012, English, 97, David Lindsay-Abaire (screenplay)  William Joyce (book), Peter Ramsey, 7.3, PG, tt1446192, 105801, Animation  Adventure  Family, Nominated for 1 Golden Globe. Another 13 wins & 29 nominations.
The Five-Year Engagement, 2012, 27 Apr 2012, English, 124, Jason Segel  Nicholas Stoller, Nicholas Stoller, 6.2, R, tt1195478, 72205, Comedy  Romance, 1 nomination.
Wanderlust, 2012, 24 Feb 2012, English, 98, David Wain  Ken Marino, David Wain, 5.6, R, tt1655460, 56441, Comedy, 1 win.
The Words, 2012, 7 Sep 2012, English, 102, Brian Klugman  Lee Sternthal, Brian Klugman  Lee Sternthal, 7.1, PG-13, tt1840417, 52848, Drama  Mystery  Romance, 3 nominations.
The Grey Mile, 2012, N/A, English, 18, Simon Janes  Jonathan Parramint, Simon Janes, 5.9, N/A, tt2180290, 15, Short  Comedy  Crime, N/A
About Cherry, 2012, 9 Aug 2012, English, 98, Stephen Elliott  Lorelei Lee, Stephen Elliott, 4.8, R, tt1945062, 6911, Drama, N/A
Killing Them Softly, 2012, 30 Nov 2012, English, 97, Andrew Dominik (screenplay)  George V. Higgins (based on the novel "Cogan's Trade" by), Andrew Dominik, 6.2, R, tt1764234, 99907, Crime  Thriller, 3 wins & 7 nominations.
A Royal Affair, 2012, 29 Mar 2012, Danish, 137, Bodil Steensen-Leth (novel)  Rasmus Heisterberg (screenplay)  Nikolaj Arcel (screenplay), Nikolaj Arcel, 7.6, R, tt1276419, 26085, Drama  History  Romance, Nominated for 1 Oscar. Another 22 wins & 32 nominations.
Safety Not Guaranteed, 2012, 18 Oct 2012, English, 86, Derek Connolly, Colin Trevorrow, 7.0, R, tt1862079, 88861, Comedy  Drama  Romance, 8 wins & 16 nominations.
Extremely+Loud+and+Incredibly+Close,,,,,,,,,,,,
The Inbetweeners, 2012–, 20 Aug 2012, English, 23, Brad Copeland, N/A, 3.6, TV-14, tt1798695, 3,213, Comedy, N/A
