The Town, 2010, 17 Sep 2010, English, 125, Peter Craig (screenplay)  Ben Affleck (screenplay)  Aaron Stockard (screenplay)  Chuck Hogan (novel), Ben Affleck, 7.6, R, tt0840361, 253351, Crime  Drama  Thriller, Nominated for 1 Oscar. Another 12 wins & 39 nominations.
Alice in Wonderland, 2010, 5 Mar 2010, English, 108, Linda Woolverton (screenplay)  Lewis Carroll (books), Tim Burton, 6.5, PG, tt1014759, 265621, Adventure  Family  Fantasy, Won 2 Oscars. Another 30 wins & 58 nominations.
The Fighter, 2010, 17 Dec 2010, English, 116, Scott Silver (screenplay)  Paul Tamasy (screenplay)  Eric Johnson (screenplay)  Paul Tamasy (story)  Eric Johnson (story)  Keith Dorrington (story), David O. Russell, 7.9, R, tt0964517, 241109, Biography  Drama  Sport, Won 2 Oscars. Another 79 wins & 88 nominations.
Tangled, 2010, 24 Nov 2010, English, 100, Dan Fogelman (screenplay)  Jacob Grimm (fairy tale)  Wilhelm Grimm (fairy tale)  Mark Kennedy (head of story)  Dean Wellins (additional story), Nathan Greno  Byron Howard, 7.8, PG, tt0398286, 239254, Animation  Comedy  Family, Nominated for 1 Oscar. Another 8 wins & 37 nominations.
The Karate Kid, 2010, 11 Jun 2010, English, 140, Christopher Murphey (screenplay)  Robert Mark Kamen (story), Harald Zwart, 6.2, PG, tt1155076, 104431, Action  Drama  Family, 5 wins & 13 nominations.
Monsters, 2010, 3 Dec 2010, English, 94, Gareth Edwards, Gareth Edwards, 6.4, R, tt1470827, 68945, Drama  Sci-Fi  Thriller, Nominated for 1 BAFTA Film Award. Another 11 wins & 11 nominations.
How to Train Your Dragon, 2010, 26 Mar 2010, English, 98, William Davies (screenplay)  Dean DeBlois (screenplay)  Chris Sanders (screenplay)  Cressida Cowell (book), Dean DeBlois  Chris Sanders, 8.2, PG, tt0892769, 392790, Animation  Adventure  Family, Nominated for 2 Oscars. Another 29 wins & 50 nominations.
The Other Guys, 2010, 6 Aug 2010, English, 107, Adam McKay  Chris Henchy, Adam McKay, 6.6, PG-13, tt1386588, 166105, Action  Comedy  Crime, 3 wins & 13 nominations.
The Book of Eli, 2010, 15 Jan 2010, English, 118, Gary Whitta, Albert Hughes  Allen Hughes, 6.9, R, tt1037705, 200471, Action  Adventure  Drama, 3 wins & 16 nominations.
Clash of the Titans, 2010, 2 Apr 2010, English, 106, Travis Beacham (screenplay)  Phil Hay (screenplay)  Matt Manfredi (screenplay)  Beverley Cross, Louis Leterrier, 5.8, PG-13, tt0800320, 207781, Action  Adventure  Fantasy, 2 wins & 11 nominations.
Toy Story 3, 2010, 18 Jun 2010, English, 103, John Lasseter (story)  Andrew Stanton (story)  Lee Unkrich (story)  Michael Arndt (screenplay), Lee Unkrich, 8.4, G, tt0435761, 443812, Animation  Adventure  Comedy, Won 2 Oscars. Another 59 wins & 78 nominations.
Dear John, 2010, 5 Feb 2010, English, 108, Jamie Linden (screenplay)  Nicholas Sparks (novel), Lasse Hallström, 6.3, PG-13, tt0989757, 81801, Drama  Romance  War, 4 wins & 7 nominations.
Remember Me, 2010, 12 Mar 2010, English, 113, Will Fetters, Allen Coulter, 7.2, PG-13, tt1403981, 100816, Drama  Romance, 4 wins & 3 nominations.
The King's Speech, 2010, 25 Dec 2010, English, 118, David Seidler (screenplay), Tom Hooper, 8.1, R, tt1504320, 412538, Biography  Drama  History, Won 4 Oscars. Another 113 wins & 155 nominations.
Legion, 2010, 22 Jan 2010, English, 100, Peter Schink  Scott Stewart, Scott Stewart, 5.2, R, tt1038686, 73454, Action  Fantasy  Horror, N/A
Kick-Ass, 2010, 16 Apr 2010, English, 117, Jane Goldman (screenplay)  Matthew Vaughn (screenplay)  Mark Millar (comic book)  John Romita Jr. (comic book), Matthew Vaughn, 7.7, R, tt1250777, 383828, Action  Comedy, 15 wins & 55 nominations.
Iron Man 2, 2010, 7 May 2010, English, 124, Justin Theroux (screenplay)  Stan Lee (Marvel comic book)  Don Heck (Marvel comic book)  Larry Lieber (Marvel comic book)  Jack Kirby (Marvel comic book), Jon Favreau, 7.1, PG-13, tt1228705, 432269, Action  Adventure  Sci-Fi, Nominated for 1 Oscar. Another 6 wins & 38 nominations.
Inception, 2010, 16 Jul 2010, English, 148, Christopher Nolan, Christopher Nolan, 8.8, PG-13, tt1375666, 1216705, Action  Mystery  Sci-Fi, Won 4 Oscars. Another 148 wins & 170 nominations.
Black Swan, 2010, 17 Dec 2010, English, 108, Mark Heyman (screenplay)  Andres Heinz (screenplay)  John J. McLaughlin (screenplay)  Andres Heinz (story), Darren Aronofsky, 8.0, R, tt0947798, 486387, Drama  Mystery  Thriller, Won 1 Oscar. Another 100 wins & 204 nominations.
Shutter Island, 2010, 19 Feb 2010, English, 138, Laeta Kalogridis (screenplay)  Dennis Lehane (novel), Martin Scorsese, 8.1, R, tt1130884, 635936, Mystery  Thriller, 7 wins & 51 nominations.
Easy A, 2010, 17 Sep 2010, English, 92, Bert V. Royal, Will Gluck, 7.1, PG-13, tt1282140, 233928, Comedy  Romance, Nominated for 1 Golden Globe. Another 9 wins & 17 nominations.
Percy Jackson & the Olympians: The Lightning Thief, 2010, 12 Feb 2010, English, 118, Craig Titley (screenplay)  Rick Riordan (novel), Chris Columbus, 5.9, PG, tt0814255, 123981, Adventure  Family  Fantasy, 11 nominations.
TRON: Legacy, 2010, 17 Dec 2010, English, 125, Edward Kitsis (screenplay)  Adam Horowitz (screenplay)  Edward Kitsis (story)  Adam Horowitz (story)  Brian Klugman (story)  Lee Sternthal (story)  Steven Lisberger (characters)  Bonnie MacBird (characters), Joseph Kosinski, 6.8, PG, tt1104001, 239559, Action  Adventure  Sci-Fi, Nominated for 1 Oscar. Another 10 wins & 39 nominations.
The Social Network, 2010, 1 Oct 2010, English, 120, Aaron Sorkin (screenplay)  Ben Mezrich (book), David Fincher, 7.8, PG-13, tt1285016, 409073, Biography  Drama, Won 3 Oscars. Another 163 wins & 131 nominations.
Resident Evil: Afterlife, 2010, 10 Sep 2010, English, 97, Paul W.S. Anderson, Paul W.S. Anderson, 5.9, R, tt1220634, 118845, Action  Adventure  Horror, 2 wins & 8 nominations.
Harry Potter and the Deathly Hallows: Part 1, 2010, 19 Nov 2010, English, 146, Steve Kloves (screenplay)  J.K. Rowling (novel), David Yates, 7.7, PG-13, tt0926084, 278643, Adventure  Family  Fantasy, Nominated for 2 Oscars. Another 13 wins & 48 nominations.
Despicable Me, 2010, 9 Jul 2010, English, 95, Cinco Paul (screenplay)  Ken Daurio (screenplay)  Sergio Pablos (story), Pierre Coffin  Chris Renaud, 7.7, PG, tt1323594, 314102, Animation  Comedy  Family, Nominated for 1 Golden Globe. Another 6 wins & 34 nominations.
The Town, 2010, 17 Sep 2010, English, 125, Peter Craig (screenplay)  Ben Affleck (screenplay)  Aaron Stockard (screenplay)  Chuck Hogan (novel), Ben Affleck, 7.6, R, tt0840361, 253351, Crime  Drama  Thriller, Nominated for 1 Oscar. Another 12 wins & 39 nominations.
Alice in Wonderland, 2010, 5 Mar 2010, English, 108, Linda Woolverton (screenplay)  Lewis Carroll (books), Tim Burton, 6.5, PG, tt1014759, 265621, Adventure  Family  Fantasy, Won 2 Oscars. Another 30 wins & 58 nominations.
The Fighter, 2010, 17 Dec 2010, English, 116, Scott Silver (screenplay)  Paul Tamasy (screenplay)  Eric Johnson (screenplay)  Paul Tamasy (story)  Eric Johnson (story)  Keith Dorrington (story), David O. Russell, 7.9, R, tt0964517, 241109, Biography  Drama  Sport, Won 2 Oscars. Another 79 wins & 88 nominations.
Tangled, 2010, 24 Nov 2010, English, 100, Dan Fogelman (screenplay)  Jacob Grimm (fairy tale)  Wilhelm Grimm (fairy tale)  Mark Kennedy (head of story)  Dean Wellins (additional story), Nathan Greno  Byron Howard, 7.8, PG, tt0398286, 239254, Animation  Comedy  Family, Nominated for 1 Oscar. Another 8 wins & 37 nominations.
The Karate Kid, 2010, 11 Jun 2010, English, 140, Christopher Murphey (screenplay)  Robert Mark Kamen (story), Harald Zwart, 6.2, PG, tt1155076, 104431, Action  Drama  Family, 5 wins & 13 nominations.
Monsters, 2010, 3 Dec 2010, English, 94, Gareth Edwards, Gareth Edwards, 6.4, R, tt1470827, 68945, Drama  Sci-Fi  Thriller, Nominated for 1 BAFTA Film Award. Another 11 wins & 11 nominations.
How to Train Your Dragon, 2010, 26 Mar 2010, English, 98, William Davies (screenplay)  Dean DeBlois (screenplay)  Chris Sanders (screenplay)  Cressida Cowell (book), Dean DeBlois  Chris Sanders, 8.2, PG, tt0892769, 392790, Animation  Adventure  Family, Nominated for 2 Oscars. Another 29 wins & 50 nominations.
The Other Guys, 2010, 6 Aug 2010, English, 107, Adam McKay  Chris Henchy, Adam McKay, 6.6, PG-13, tt1386588, 166105, Action  Comedy  Crime, 3 wins & 13 nominations.
The Book of Eli, 2010, 15 Jan 2010, English, 118, Gary Whitta, Albert Hughes  Allen Hughes, 6.9, R, tt1037705, 200471, Action  Adventure  Drama, 3 wins & 16 nominations.
Clash of the Titans, 2010, 2 Apr 2010, English, 106, Travis Beacham (screenplay)  Phil Hay (screenplay)  Matt Manfredi (screenplay)  Beverley Cross, Louis Leterrier, 5.8, PG-13, tt0800320, 207781, Action  Adventure  Fantasy, 2 wins & 11 nominations.
Toy Story 3, 2010, 18 Jun 2010, English, 103, John Lasseter (story)  Andrew Stanton (story)  Lee Unkrich (story)  Michael Arndt (screenplay), Lee Unkrich, 8.4, G, tt0435761, 443812, Animation  Adventure  Comedy, Won 2 Oscars. Another 59 wins & 78 nominations.
Dear John, 2010, 5 Feb 2010, English, 108, Jamie Linden (screenplay)  Nicholas Sparks (novel), Lasse Hallström, 6.3, PG-13, tt0989757, 81801, Drama  Romance  War, 4 wins & 7 nominations.
Remember Me, 2010, 12 Mar 2010, English, 113, Will Fetters, Allen Coulter, 7.2, PG-13, tt1403981, 100816, Drama  Romance, 4 wins & 3 nominations.
The King's Speech, 2010, 25 Dec 2010, English, 118, David Seidler (screenplay), Tom Hooper, 8.1, R, tt1504320, 412538, Biography  Drama  History, Won 4 Oscars. Another 113 wins & 155 nominations.
Legion, 2010, 22 Jan 2010, English, 100, Peter Schink  Scott Stewart, Scott Stewart, 5.2, R, tt1038686, 73454, Action  Fantasy  Horror, N/A
I Spit on Your Grave, 2010, 20 Jan 2011, English, 108, Stuart Morse (screenplay)  Meir Zarchi (film: Day of the Woman), Steven R. Monroe, 6.3, R, tt1242432, 47031, Crime  Horror  Thriller, 1 win & 1 nomination.
Hot Tub Time Machine, 2010, 26 Mar 2010, English, 101, Josh Heald (screenplay)  Sean Anders (screenplay)  John Morris (screenplay)  Josh Heald (story), Steve Pink, 6.5, R, tt1231587, 126199, Adventure  Comedy  Sci-Fi, 3 nominations.
Blue Valentine, 2010, 27 Dec 2010, English, 112, Derek Cianfrance  Joey Curtis  Cami Delavigne, Derek Cianfrance, 7.4, NC-17, tt1120985, 126191, Drama  Romance, Nominated for 1 Oscar. Another 7 wins & 45 nominations.
Grown Ups, 2010, 25 Jun 2010, English, 102, Adam Sandler  Fred Wolf, Dennis Dugan, 6.0, PG-13, tt1375670, 157941, Comedy, 3 wins & 5 nominations.
Life as We Know It, 2010, 8 Oct 2010, English, 114, Ian Deitchman  Kristin Rusk Robinson, Greg Berlanti, 6.5, PG-13, tt1055292, 80503, Comedy  Drama  Romance, 2 nominations.
A Serbian Film, 2010, 21 Jan 2012, Serbian, 104, Aleksandar Radivojevic (screenplay)  Srdjan Spasojevic (screenplay), Srdjan Spasojevic, 5.3, NC-17, tt1273235, 31492, Horror  Mystery  Thriller, 1 win & 2 nominations.
True Grit, 2010, 22 Dec 2010, English, 110, Joel Coen (screenplay)  Ethan Coen (screenplay)  Charles Portis (novel), Ethan Coen  Joel Coen, 7.7, PG-13, tt1403865, 213406, Adventure  Drama  Western, Nominated for 10 Oscars. Another 49 wins & 130 nominations.
The Last Airbender, 2010, 1 Jul 2010, English, 103, M. Night Shyamalan, M. Night Shyamalan, 4.3, PG, tt0938283, 107324, Action  Adventure  Family, 7 wins & 12 nominations.
Prince of Persia: The Sands of Time, 2010, 28 May 2010, English, 116, Boaz Yakin (screenplay)  Doug Miro (screenplay)  Carlo Bernard (screenplay)  Jordan Mechner (screen story)  Jordan Mechner (video game series "Prince of Persia"), Mike Newell, 6.6, PG-13, tt0473075, 196269, Action  Adventure  Fantasy, 9 nominations.
Never Let Me Go, 2010, 11 Feb 2011, English, 103, Kazuo Ishiguro (novel)  Alex Garland (screenplay), Mark Romanek, 7.2, R, tt1334260, 96792, Drama  Romance  Sci-Fi, 7 wins & 25 nominations.
Burlesque, 2010, 24 Nov 2010, English, 119, Steve Antin, Steve Antin, 6.4, PG-13, tt1126591, 55274, Drama  Music  Romance, Won 1 Golden Globe. Another 4 wins & 15 nominations.
127 Hours, 2010, 28 Jan 2011, English, 94, Danny Boyle (screenplay)  Simon Beaufoy (screenplay)  Aron Ralston (book), Danny Boyle, 7.6, R, tt1542344, 247460, Adventure  Biography  Drama, Nominated for 6 Oscars. Another 28 wins & 127 nominations.
All Good Things, 2010, 9 Dec 2010, English, 101, Marcus Hinchey  Marc Smerling, Andrew Jarecki, 6.3, R, tt1175709, 35650, Crime  Drama  Mystery, 1 nomination.
The Expendables, 2010, 13 Aug 2010, English, 103, Dave Callaham (screenplay)  Sylvester Stallone (screenplay)  Dave Callaham (story), Sylvester Stallone, 6.5, R, tt1320253, 237988, Action  Adventure  Thriller, 3 wins & 4 nominations.
RED, 2010, 15 Oct 2010, English, 111, Jon Hoeber (screenplay)  Erich Hoeber (screenplay)  Warren Ellis (graphic novel)  Cully Hamner (graphic novel), Robert Schwentke, 7.1, PG-13, tt1245526, 214189, Action  Comedy  Crime, Nominated for 1 Golden Globe. Another 2 wins & 16 nominations.
The A-Team, 2010, 11 Jun 2010, English, 117, Joe Carnahan  Brian Bloom  Skip Woods  Frank Lupo (television series "The A-Team")  Stephen J. Cannell (television series "The A-Team"), Joe Carnahan, 6.8, PG-13, tt0429493, 192160, Action  Adventure  Comedy, 1 win & 3 nominations.
Predators, 2010, 9 Jul 2010, English, 107, Alex Litvak  Michael Finch  Jim Thomas (characters)  John Thomas (characters), Nimród Antal, 6.4, R, tt1424381, 155995, Action  Adventure  Sci-Fi, 2 wins & 3 nominations.
Charlie St. Cloud, 2010, 30 Jul 2010, English, 99, Craig Pearce (screenplay)  Lewis Colick (screenplay)  Ben Sherwood (novel), Burr Steers, 6.4, PG-13, tt1438254, 41321, Drama  Fantasy  Romance, 4 nominations.
Salt, 2010, 23 Jul 2010, English, 100, Kurt Wimmer, Phillip Noyce, 6.4, PG-13, tt0944835, 221852, Action  Crime  Mystery, Nominated for 1 Oscar. Another 4 wins & 15 nominations.
Sex and the City 2, 2010, 27 May 2010, English, 146, Michael Patrick King  Candace Bushnell (characters from the book by)  Darren Star (television series creator), Michael Patrick King, 4.2, R, tt1261945, 53179, Comedy  Drama  Romance, 8 wins & 8 nominations.
Robin Hood, 2010, 14 May 2010, English, 140, Brian Helgeland (screenplay)  Brian Helgeland (story)  Ethan Reiff (story)  Cyrus Voris (story), Ridley Scott, 6.7, PG-13, tt0955308, 192013, Action  Adventure  Drama, 1 win & 15 nominations.
The Next Three Days, 2010, 19 Nov 2010, English, 133, Paul Haggis (screenplay)  Fred Cavayé (screenplay)  Guillaume Lemans (screenplay), Paul Haggis, 7.4, PG-13, tt1458175, 131636, Crime  Drama  Romance, 2 nominations.
The Last Song, 2010, 31 Mar 2010, English, 107, Nicholas Sparks (screenplay)  Jeff Van Wie (screenplay)  Nicholas Sparks (book), Julie Anne Robinson, 5.8, PG, tt1294226, 51196, Drama  Romance, 4 wins & 8 nominations.
A Nightmare on Elm Street, 2010, 30 Apr 2010, English, 95, Wesley Strick (screenplay)  Eric Heisserer (screenplay)  Wesley Strick (story)  Wes Craven (characters), Samuel Bayer, 5.2, R, tt1179056, 67392, Horror  Mystery  Thriller, 2 wins & 9 nominations.
Machete, 2010, 3 Sep 2010, English, 105, Robert Rodriguez  Álvaro Rodríguez, Ethan Maniquis  Robert Rodriguez, 6.7, R, tt0985694, 152690, Action  Crime  Thriller, 3 wins & 4 nominations.
The Chronicles of Narnia: The Voyage of the Dawn Treader, 2010, 10 Dec 2010, English, 113, Christopher Markus (screenplay)  Stephen McFeely (screenplay)  Michael Petroni (screenplay)  C.S. Lewis (novel), Michael Apted, 6.4, PG, tt0980970, 91005, Adventure  Family  Fantasy, Nominated for 1 Golden Globe. Another 1 win & 16 nominations.
Jonah Hex, 2010, 18 Jun 2010, English, 81, Mark Neveldine (screenplay)  Brian Taylor (screenplay)  William Farmer (story)  Mark Neveldine (story)  Brian Taylor (story)  John Albano (characters appearing in magazines published by DC Comics)  Tony DeZuniga (characters appearing in magazines published by DC Comics), Jimmy Hayward, 4.6, PG-13, tt1075747, 41292, Action  Drama  Fantasy, 1 win & 3 nominations.
Chloe, 2010, N/A, English, 23, Michael William Edwards, Michael William Edwards, 6.1, N/A, tt2023432, 7, Short  Drama, N/A
The Switch, 2010, 20 Aug 2010, English, 101, Allan Loeb (screenplay)  Jeffrey Eugenides (short story "Baster"), Josh Gordon  Will Speck, 6.0, PG-13, tt0889573, 69296, Comedy  Drama  Romance, 2 nominations.
Leap Year, 2010, 8 Jan 2010, English, 100, Deborah Kaplan  Harry Elfont, Anand Tucker, 6.4, PG, tt1216492, 61359, Comedy  Romance, N/A
Let Me In, 2010, 1 Oct 2010, English, 116, Matt Reeves (screenplay)  John Ajvide Lindqvist (screenplay)  John Ajvide Lindqvist (novel), Matt Reeves, 7.2, R, tt1228987, 82344, Drama  Horror  Mystery, 14 wins & 25 nominations.
Valentine's Day, 2010, 12 Feb 2010, English, 125, Katherine Fugate (screenplay)  Katherine Fugate (story)  Abby Kohn (story)  Marc Silverstein (story), Garry Marshall, 5.8, PG-13, tt0817230, 85815, Comedy  Romance, 6 wins & 12 nominations.
The Twilight Saga: Eclipse, 2010, 30 Jun 2010, English, 124, Melissa Rosenberg (screenplay)  Stephenie Meyer (novel), David Slade, 4.9, PG-13, tt1325004, 165592, Adventure  Drama  Fantasy, 22 wins & 33 nominations.
Ip Man 2, 2010, 29 Apr 2010, Cantonese, 108, Hiu-Yan Choi  Chan Tai-Li  Edmond Wong (screenplay), Wilson Yip, 7.6, R, tt1386932, 53439, Action  Biography  Drama, 4 wins & 9 nominations.
Takers, 2010, 27 Aug 2010, English, 107, Peter Allen  Gabriel Casseus  John Luessenhop  Avery Duff, John Luessenhop, 6.2, PG-13, tt1135084, 42377, Action  Crime  Thriller, 2 wins & 6 nominations.
Due Date, 2010, 5 Nov 2010, English, 95, Alan R. Cohen (screenplay)  Alan Freedland (screenplay)  Adam Sztykiel (screenplay)  Todd Phillips (screenplay)  Alan R. Cohen (story)  Alan Freedland (story), Todd Phillips, 6.6, R, tt1231583, 250693, Comedy, 6 nominations.
Flipped, 2010, 22 Oct 2010, English, 90, Rob Reiner (screenplay)  Andrew Scheinman (screenplay)  Wendelin Van Draanen (novel), Rob Reiner, 7.7, PG, tt0817177, 50815, Comedy  Drama  Romance, 1 win & 2 nominations.
Megamind, 2010, 5 Nov 2010, English, 95, Alan J. Schoolcraft  Brent Simons, Tom McGrath, 7.3, PG, tt1001526, 147218, Animation  Action  Comedy, 2 wins & 15 nominations.
The Kids Are All Right, 2010, 30 Jul 2010, English, 106, Lisa Cholodenko  Stuart Blumberg, Lisa Cholodenko, 7.1, R, tt0842926, 101987, Comedy  Drama, Nominated for 4 Oscars. Another 33 wins & 100 nominations.
The Losers, 2010, 23 Apr 2010, English, 97, Peter Berg (screenplay)  James Vanderbilt (screenplay)  Andy Diggle (characters), Sylvain White, 6.4, PG-13, tt0480255, 68915, Action  Crime  Drama, 1 win & 7 nominations.
She's Out of My League, 2010, 12 Mar 2010, English, 104, Sean Anders  John Morris, Jim Field Smith, 6.4, R, tt0815236, 93644, Comedy  Romance, 1 nomination.
Piranha 3D, 2010, 20 Aug 2010, English, 88, Pete Goldfinger  Josh Stolberg, Alexandre Aja, 5.5, R, tt0464154, 67191, Comedy  Horror, 1 win & 11 nominations.
The Crazies, 2010, 26 Feb 2010, English, 101, Scott Kosar (screenplay)  Ray Wright (screenplay)  George A. Romero, Breck Eisner, 6.6, R, tt0455407, 84761, Horror  Mystery  Thriller, 10 nominations.
A Director's Playground: Vincenzo Natali on the Set of Splice, 2010, 5 Oct 2010, N/A, 36, N/A, Philippe H. Bergeron, 5.6, N/A, tt1602001, 9, Documentary  Short  Biography, N/A
Eat Pray Love, 2010, 13 Aug 2010, English, 133, Ryan Murphy (screenplay)  Jennifer Salt (screenplay)  Elizabeth Gilbert (book), Ryan Murphy, 5.6, PG-13, tt0879870, 54782, Drama  Romance, 1 win & 2 nominations.
The Tourist, 2010, 10 Dec 2010, English, 103, Florian Henckel von Donnersmarck (screenplay)  Christopher McQuarrie (screenplay)  Julian Fellowes (screenplay)  Jérôme Salle (motion picture "Anthony Zimmer"), Florian Henckel von Donnersmarck, 6.0, PG-13, tt1243957, 154245, Action  Romance  Thriller, Nominated for 3 Golden Globes. Another 3 wins & 2 nominations.
Step Up 3D, 2010, 6 Aug 2010, English, 107, Amy Andelson  Emily Meyer  Duane Adler (characters), Jon M. Chu, 6.2, PG-13, tt1193631, 41720, Drama  Music  Romance, 1 nomination.
Buried, 2010, 1 Oct 2010, English, 95, Chris Sparling, Rodrigo Cortés, 7.0, R, tt1462758, 105441, Drama  Mystery  Thriller, 14 wins & 30 nominations.
Get Him to the Greek, 2010, 4 Jun 2010, English, 109, Nicholas Stoller  Jason Segel (characters), Nicholas Stoller, 6.4, R, tt1226229, 136081, Comedy  Music, 13 nominations.
The Runaways, 2010, 8 Apr 2010, English, 106, Floria Sigismondi (screenplay)  Cherie Currie (book), Floria Sigismondi, 6.6, R, tt1017451, 35974, Biography  Drama  History, 5 nominations.
Unstoppable, 2010, 12 Nov 2010, English, 98, Mark Bomback, Tony Scott, 6.8, PG-13, tt0477080, 133109, Action  Thriller, Nominated for 1 Oscar. Another 1 win & 12 nominations.
Devil, 2010, 17 Sep 2010, English, 80, Brian Nelson (screenplay)  M. Night Shyamalan (story), John Erick Dowdle, 6.3, PG-13, tt1314655, 93837, Horror  Mystery  Thriller, 2 nominations.
Saw 3D: The Final Chapter, 2010, 29 Oct 2010, English, 90, Patrick Melton  Marcus Dunstan, Kevin Greutert, 5.6, R, tt1477076, 59500, Horror  Mystery, 3 nominations.
Knight and Day, 2010, 23 Jun 2010, English, 109, Patrick O'Neill, James Mangold, 6.3, PG-13, tt1013743, 131371, Action  Comedy  Romance, 4 nominations.
Winter's Bone, 2010, 17 Sep 2010, English, 100, Debra Granik (screenplay)  Anne Rosellini (screenplay)  Daniel Woodrell (novel), Debra Granik, 7.2, R, tt1399683, 101788, Drama, Nominated for 4 Oscars. Another 75 wins & 95 nominations.
It's Kind of a Funny Story, 2010, 7 Jan 2011, English, 101, Anna Boden (screenplay)  Ryan Fleck (screenplay)  Ned Vizzini (novel), Anna Boden  Ryan Fleck, 7.2, PG-13, tt0804497, 93228, Comedy  Drama  Romance, 2 nominations.
Diary of a Wimpy Kid, 2010, 19 Mar 2010, English, 94, Jackie Filgo (screenplay)  Jeff Filgo (screenplay)  Gabe Sachs (screenplay)  Jeff Judah (screenplay)  Jeff Kinney (book), Thor Freudenthal, 6.2, PG, tt1196141, 28204, Comedy  Family, 5 wins & 8 nominations.
Centurion, 2010, 30 Jul 2010, English, 97, Neil Marshall, Neil Marshall, 6.4, R, tt1020558, 58685, Action  Adventure  Drama, 1 nomination.
Going the Distance, 2010, 3 Sep 2010, English, 102, Geoff LaTulippe, Nanette Burstein, 6.4, R, tt1322312, 46760, Comedy  Romance, N/A
The Way Back, 2010, 21 Jan 2011, English, 133, Keith R. Clarke (screenplay)  Slavomir Rawicz (novel)  Peter Weir (screenplay), Peter Weir, 7.3, PG-13, tt1023114, 78816, Adventure  Drama  History, Nominated for 1 Oscar. Another 2 wins & 4 nominations.
Room in Rome, 2010, 7 May 2010, English, 109, Katherine Fugate (dialogue advisor)  Julio Medem  Julio Rojas (screenplay), Julio Medem, 6.2, UNRATED, tt1263750, 14046, Drama  Romance, 2 wins & 5 nominations.
I'm Still Here, 2010, 16 Sep 2010, English, 108, Casey Affleck  Joaquin Phoenix, Casey Affleck, 6.2, R, tt1356864, 13193, Comedy  Drama  Music, 1 win & 2 nominations.
Letters to Juliet, 2010, 14 May 2010, English, 105, Jose Rivera  Tim Sullivan, Gary Winick, 6.5, PG, tt0892318, 62909, Comedy  Drama  Romance, 4 nominations.
