Soul Surfer, 2011, 8 Apr 2011, English, 106, Sean McNamara (screenplay)  Deborah Schwartz (screenplay)  Douglas Schwartz (screenplay)  Michael Berk (screenplay)  Sean McNamara (screen story)  Deborah Schwartz (screen story)  Douglas Schwartz (screen story)  Michael Berk (screen story)  Matt Allen (screen story)  Caleb Wilson (screen story)  Brad Gann (screen story)  Bethany Hamilton (book)  Sheryl Berk (book)  Rick Bundschuh (book), Sean McNamara, 7.1, PG, tt1596346, 30595, Biography  Drama  Sport, 1 win & 12 nominations.
Monte Carlo, 2011, 1 Jul 2011, English, 109, Thomas Bezucha (screenplay)  April Blair (screenplay)  Maria Maggenti (screenplay)  Kelly Bowe (screen story)  Jules Bass (novel), Thomas Bezucha, 5.8, PG, tt1067774, 27703, Adventure  Comedy  Romance, 4 nominations.
The Descendants, 2011, 9 Dec 2011, English, 115, Alexander Payne (screenplay)  Nat Faxon (screenplay)  Jim Rash (screenplay)  Kaui Hart Hemmings (novel), Alexander Payne, 7.4, R, tt1033575, 189377, Comedy  Drama, Won 1 Oscar. Another 76 wins & 113 nominations.
Friends with Benefits, 2011, 22 Jul 2011, English, 109, Keith Merryman (screenplay)  David A. Newman (screenplay)  Will Gluck (screenplay)  Harley Peyton (story)  Keith Merryman (story)  David A. Newman (story), Will Gluck, 6.6, R, tt1632708, 230914, Comedy  Romance, 4 nominations.
Martha Marcy May Marlene, 2011, 21 Dec 2011, English, 102, Sean Durkin, Sean Durkin, 7.0, R, tt1441326, 36458, Drama  Thriller, 22 wins & 61 nominations.
Horrible Bosses, 2011, 8 Jul 2011, English, 98, Michael Markowitz (screenplay)  John Francis Daley (screenplay)  Jonathan M. Goldstein (screenplay)  Michael Markowitz (story), Seth Gordon, 6.9, R, tt1499658, 312841, Comedy  Crime, 2 wins & 8 nominations.
Mission: Impossible Ghost Protocol Special Feature - Soaring in Dubai, 2011, 1 Dec 2011, English, 3, N/A, Anthony Giacchino, 7.7, N/A, tt2244236, 11, Short, N/A
No Strings Attached, 2011, 21 Jan 2011, English, 108, Elizabeth Meriwether (screenplay)  Michael Samonek (story)  Elizabeth Meriwether (story), Ivan Reitman, 6.2, R, tt1411238, 145837, Comedy  Romance, 2 wins & 6 nominations.
Captain America: The First Avenger, 2011, 22 Jul 2011, English, 124, Christopher Markus (screenplay)  Stephen McFeely (screenplay)  Joe Simon (comic books)  Jack Kirby (comic books), Joe Johnston, 6.8, PG-13, tt0458339, 391376, Action  Adventure  Sci-Fi, 3 wins & 40 nominations.
Thor, 2011, 6 May 2011, English, 115, Ashley Miller (screenplay)  Zack Stentz (screenplay)  Don Payne (screenplay)  J. Michael Straczynski (story)  Mark Protosevich (story)  Stan Lee (comic book)  Larry Lieber (comic book)  Jack Kirby (comic book), Kenneth Branagh, 7.0, PG-13, tt0800369, 433875, Action  Adventure  Fantasy, 5 wins & 28 nominations.
Warrior, 2011, 9 Sep 2011, English, 140, Gavin O'Connor (screenplay)  Anthony Tambakis (screenplay)  Cliff Dorfman (screenplay)  Gavin O'Connor (story)  Cliff Dorfman (story), Gavin O'Connor, 8.2, PG-13, tt1291584, 273554, Drama  Sport, Nominated for 1 Oscar. Another 3 wins & 15 nominations.
X-Men: First Class, 2011, 3 Jun 2011, English, 132, Ashley Miller (screenplay)  Zack Stentz (screenplay)  Jane Goldman (screenplay)  Matthew Vaughn (screenplay)  Sheldon Turner (story)  Bryan Singer (story), Matthew Vaughn, 7.8, PG-13, tt1270798, 434512, Action  Adventure  Sci-Fi, 16 wins & 31 nominations.
Harry Potter and the Deathly Hallows: Part 2, 2011, 15 Jul 2011, English, 130, Steve Kloves (screenplay)  J.K. Rowling (novel), David Yates, 8.1, PG-13, tt1201607, 441123, Adventure  Fantasy  Mystery, Nominated for 3 Oscars. Another 48 wins & 76 nominations.
Crazy Stupid Love: The Player Meets His Match, 2011, 1 Nov 2011, English, 6, N/A, N/A, N/A, N/A, tt2862584, N/A, Short  Comedy, N/A
Bridesmaids, 2011, 13 May 2011, English, 125, Kristen Wiig  Annie Mumolo, Paul Feig, 6.8, R, tt1478338, 193260, Comedy  Romance, Nominated for 2 Oscars. Another 24 wins & 56 nominations.
Super 8, 2011, 10 Jun 2011, English, 112, J.J. Abrams, J.J. Abrams, 7.1, PG-13, tt1650062, 261003, Mystery  Sci-Fi  Thriller, 11 wins & 54 nominations.
Sucker Punch, 2011, 25 Mar 2011, English, 110, Zack Snyder (screenplay)  Steve Shibuya (screenplay)  Zack Snyder (story), Zack Snyder, 6.1, PG-13, tt0978764, 179539, Action  Adventure  Fantasy, 1 win & 5 nominations.
Drive, 2011, 16 Sep 2011, English, 100, Hossein Amini (screenplay)  James Sallis (book), Nicolas Winding Refn, 7.8, R, tt0780504, 384423, Crime  Drama, Nominated for 1 Oscar. Another 78 wins & 124 nominations.
Pirates of the Caribbean: On Stranger Tides, 2011, 20 May 2011, English, 136, Ted Elliott (screenplay)  Terry Rossio (screenplay)  Ted Elliott (screen story)  Terry Rossio (screen story)  Ted Elliott (characters)  Terry Rossio (characters)  Stuart Beattie (characters)  Jay Wolpert (characters)  Tim Powers (novel), Rob Marshall, 6.7, PG-13, tt1298650, 313946, Action  Adventure  Fantasy, 2 wins & 29 nominations.
Just Go with It, 2011, 11 Feb 2011, English, 117, Allan Loeb (screenplay)  Timothy Dowling (screenplay)  I.A.L. Diamond (screenplay)  Abe Burrows (stage play)  Pierre Barillet (French play)  Jean-Pierre Grédy (French play), Dennis Dugan, 6.4, PG-13, tt1564367, 151113, Comedy  Romance, 5 wins & 11 nominations.
Green Lantern, 2011, 17 Jun 2011, English, 114, Greg Berlanti (screenplay)  Michael Green (screenplay)  Marc Guggenheim (screenplay)  Michael Goldenberg (screenplay)  Greg Berlanti (screen story)  Michael Green (screen story)  Marc Guggenheim (screen story), Martin Campbell, 5.7, PG-13, tt1133985, 197161, Action  Adventure  Sci-Fi, 1 win & 5 nominations.
Fast Five, 2011, 29 Apr 2011, English, 131, Chris Morgan  Gary Scott Thompson (characters), Justin Lin, 7.3, PG-13, tt1596343, 246734, Action  Crime  Thriller, 8 wins & 18 nominations.
The Help, 2011, 10 Aug 2011, English, 146, Tate Taylor (screenplay)  Kathryn Stockett (novel), Tate Taylor, 8.1, PG-13, tt1454029, 272668, Drama, Won 1 Oscar. Another 72 wins & 97 nominations.
The Girl with the Dragon Tattoo, 2011, 21 Dec 2011, English, 158, Steven Zaillian (screenplay)  Stieg Larsson (novel), David Fincher, 7.9, R, tt1568346, 291051, Crime  Drama  Mystery, Won 1 Oscar. Another 28 wins & 69 nominations.
In Time, 2011, 28 Oct 2011, English, 109, Andrew Niccol, Andrew Niccol, 6.7, PG-13, tt1637688, 262566, Action  Sci-Fi  Thriller, 2 nominations.
Immortals, 2011, 11 Nov 2011, English, 110, Charley Parlapanides  Vlas Parlapanides, Tarsem Singh, 6.1, R, tt1253864, 126787, Action  Drama  Fantasy, 1 win & 6 nominations.
Midnight in Paris, 2011, 10 Jun 2011, English, 94, Woody Allen, Woody Allen, 7.7, PG-13, tt1605783, 263466, Comedy  Romance, Won 1 Oscar. Another 24 wins & 79 nominations.
Limitless, 2011, 18 Mar 2011, English, 105, Leslie Dixon (screenplay)  Alan Glynn (novel), Neil Burger, 7.4, PG-13, tt1219289, 357671, Mystery  Sci-Fi  Thriller, 2 wins & 7 nominations.
I Am Number Four, 2011, 18 Feb 2011, English, 109, Alfred Gough (screenplay)  Miles Millar (screenplay)  Marti Noxon (screenplay)  Jobie Hughes (novel)  James Frey (novel), D.J. Caruso, 6.1, PG-13, tt1464540, 175624, Action  Adventure  Sci-Fi, 1 win & 1 nomination.
Soul Surfer, 2011, 8 Apr 2011, English, 106, Sean McNamara (screenplay)  Deborah Schwartz (screenplay)  Douglas Schwartz (screenplay)  Michael Berk (screenplay)  Sean McNamara (screen story)  Deborah Schwartz (screen story)  Douglas Schwartz (screen story)  Michael Berk (screen story)  Matt Allen (screen story)  Caleb Wilson (screen story)  Brad Gann (screen story)  Bethany Hamilton (book)  Sheryl Berk (book)  Rick Bundschuh (book), Sean McNamara, 7.1, PG, tt1596346, 30595, Biography  Drama  Sport, 1 win & 12 nominations.
Monte Carlo, 2011, 1 Jul 2011, English, 109, Thomas Bezucha (screenplay)  April Blair (screenplay)  Maria Maggenti (screenplay)  Kelly Bowe (screen story)  Jules Bass (novel), Thomas Bezucha, 5.8, PG, tt1067774, 27703, Adventure  Comedy  Romance, 4 nominations.
The Descendants, 2011, 9 Dec 2011, English, 115, Alexander Payne (screenplay)  Nat Faxon (screenplay)  Jim Rash (screenplay)  Kaui Hart Hemmings (novel), Alexander Payne, 7.4, R, tt1033575, 189377, Comedy  Drama, Won 1 Oscar. Another 76 wins & 113 nominations.
Friends with Benefits, 2011, 22 Jul 2011, English, 109, Keith Merryman (screenplay)  David A. Newman (screenplay)  Will Gluck (screenplay)  Harley Peyton (story)  Keith Merryman (story)  David A. Newman (story), Will Gluck, 6.6, R, tt1632708, 230914, Comedy  Romance, 4 nominations.
Martha Marcy May Marlene, 2011, 21 Dec 2011, English, 102, Sean Durkin, Sean Durkin, 7.0, R, tt1441326, 36458, Drama  Thriller, 22 wins & 61 nominations.
Horrible Bosses, 2011, 8 Jul 2011, English, 98, Michael Markowitz (screenplay)  John Francis Daley (screenplay)  Jonathan M. Goldstein (screenplay)  Michael Markowitz (story), Seth Gordon, 6.9, R, tt1499658, 312841, Comedy  Crime, 2 wins & 8 nominations.
Mission: Impossible Ghost Protocol Special Feature - Soaring in Dubai, 2011, 1 Dec 2011, English, 3, N/A, Anthony Giacchino, 7.7, N/A, tt2244236, 11, Short, N/A
No Strings Attached, 2011, 21 Jan 2011, English, 108, Elizabeth Meriwether (screenplay)  Michael Samonek (story)  Elizabeth Meriwether (story), Ivan Reitman, 6.2, R, tt1411238, 145837, Comedy  Romance, 2 wins & 6 nominations.
Source Code, 2011, 1 Apr 2011, English, 93, Ben Ripley, Duncan Jones, 7.5, PG-13, tt0945513, 323346, Mystery  Sci-Fi  Thriller, 1 win & 5 nominations.
Moneyball, 2011, 23 Sep 2011, English, 133, Steven Zaillian (screenplay)  Aaron Sorkin (screenplay)  Stan Chervin (story)  Michael Lewis (book), Bennett Miller, 7.6, PG-13, tt1210166, 256592, Biography  Drama  Sport, Nominated for 6 Oscars. Another 33 wins & 61 nominations.
The Adjustment Bureau, 2011, 4 Mar 2011, English, 106, George Nolfi (screenplay)  Philip K. Dick (short story "Adjustment Team"), George Nolfi, 7.1, PG-13, tt1385826, 181059, Romance  Sci-Fi  Thriller, 1 win & 9 nominations.
Real Steel, 2011, 7 Oct 2011, English, 127, John Gatins (screenplay)  Dan Gilroy (story)  Jeremy Leven (story)  Richard Matheson (short story "Steel"), Shawn Levy, 7.1, PG-13, tt0433035, 227635, Action  Drama  Sci-Fi, Nominated for 1 Oscar. Another 2 wins & 5 nominations.
A Few Best Men, 2011, 26 Jan 2012, English, 97, Dean Craig, Stephan Elliott, 5.8, N/A, tt1640711, 8165, Comedy, 2 nominations.
One Day, 2011, 19 Aug 2011, English, 107, David Nicholls (screenplay)  David Nicholls (book), Lone Scherfig, 7.0, PG-13, tt1563738, 88181, Drama  Romance, 3 nominations.
Transformers: Dark of the Moon, 2011, 29 Jun 2011, English, 154, Ehren Kruger, Michael Bay, 6.3, PG-13, tt1399103, 288104, Action  Adventure  Sci-Fi, Nominated for 3 Oscars. Another 10 wins & 36 nominations.
Shame, 2011, 13 Jan 2012, English, 101, Steve McQueen  Abi Morgan, Steve McQueen, 7.3, NC-17, tt1723811, 125648, Drama, Nominated for 1 Golden Globe. Another 53 wins & 78 nominations.
Tinker Tailor Soldier Spy, 2011, 6 Jan 2012, English, 127, Bridget O'Connor (screenplay)  Peter Straughan (screenplay)  John le Carré (novel), Tomas Alfredson, 7.1, R, tt1340800, 131547, Drama  Mystery  Thriller, Nominated for 3 Oscars. Another 36 wins & 74 nominations.
Footloose, 2011, 14 Oct 2011, English, 113, Dean Pitchford (screenplay)  Craig Brewer (screenplay)  Dean Pitchford (story), Craig Brewer, 5.8, PG-13, tt1068242, 32522, Comedy  Drama  Music, 3 nominations.
Hugo, 2011, 23 Nov 2011, English, 126, John Logan (screenplay)  Brian Selznick (book), Martin Scorsese, 7.6, PG, tt0970179, 219949, Adventure  Drama  Family, Won 5 Oscars. Another 61 wins & 144 nominations.
The Twilight Saga: Breaking Dawn - Part 1, 2011, 18 Nov 2011, English, 117, Melissa Rosenberg (screenplay)  Stephenie Meyer (novel), Bill Condon, 4.9, PG-13, tt1324999, 164057, Adventure  Drama  Fantasy, 10 wins & 21 nominations.
Conan the Barbarian, 2011, 19 Aug 2011, English, 113, Thomas Dean Donnelly  Joshua Oppenheimer  Sean Hood  Robert E. Howard (character of Conan), Marcus Nispel, 5.2, R, tt0816462, 76801, Action  Adventure  Fantasy, 2 nominations.
Sherlock Holmes: A Game of Shadows, 2011, 16 Dec 2011, English, 129, Michele Mulroney  Kieran Mulroney  Arthur Conan Doyle (characters: Sherlock Holmes   Dr. Watson), Guy Ritchie, 7.5, PG-13, tt1515091, 287412, Action  Adventure  Crime, 2 wins & 10 nominations.
The Human Centipede II (Full Sequence), 2011, 1 Nov 2011, English, 88, Tom Six, Tom Six, 3.9, NOT RATED, tt1530509, 21778, Horror, 1 win & 5 nominations.
Scream 4, 2011, 15 Apr 2011, English, 111, Kevin Williamson, Wes Craven, 6.2, R, tt1262416, 92791, Horror  Mystery, 1 win & 5 nominations.
The Three Musketeers, 2011, 21 Oct 2011, English, 110, Alex Litvak (screenplay)  Andrew Davies (screenplay)  Alexandre Dumas père (novel), Paul W.S. Anderson, 5.8, PG-13, tt1509767, 81309, Action  Adventure  Romance, 4 nominations.
Rise of the Planet of the Apes, 2011, 5 Aug 2011, English, 105, Rick Jaffa  Amanda Silver  Pierre Boulle (novel), Rupert Wyatt, 7.6, PG-13, tt1318514, 354139, Action  Drama  Sci-Fi, Nominated for 1 Oscar. Another 18 wins & 32 nominations.
What's Your Number?, 2011, 30 Sep 2011, English, 106, Gabrielle Allan (screenplay)  Jennifer Crittenden (screenplay)  Karyn Bosnak (novel), Mark Mylod, 6.0, R, tt0770703, 51377, Comedy  Romance, N/A
50/50, 2011, 30 Sep 2011, English, 100, Will Reiser, Jonathan Levine, 7.7, R, tt1306980, 244332, Comedy  Drama, Nominated for 2 Golden Globes. Another 12 wins & 18 nominations.
Contagion, 2011, 9 Sep 2011, English, 106, Scott Z. Burns, Steven Soderbergh, 6.7, PG-13, tt1598778, 165134, Drama  Sci-Fi  Thriller, 2 wins & 11 nominations.
Beastly, 2011, 4 Mar 2011, English, 86, Daniel Barnz (screenplay)  Alex Flinn (novel), Daniel Barnz, 5.5, PG-13, tt1152398, 56592, Drama  Fantasy  Romance, 1 win & 1 nomination.
Jane Eyre, 2011, 9 Sep 2011, English, 120, Charlotte Brontë (novel)  Moira Buffini (screenplay), Cary Fukunaga, 7.4, PG-13, tt1229822, 53464, Drama  Romance, Nominated for 1 Oscar. Another 7 wins & 14 nominations.
The Roommate, 2011, 4 Feb 2011, English, 91, Sonny Mallhi  Nick Bylsma  Chris Bylsma  Richard Robertson, Christian E. Christiansen, 4.8, PG-13, tt1265990, 26554, Drama  Horror  Thriller, 7 nominations.
The Tree of Life, 2011, 17 May 2011, English, 139, Terrence Malick, Terrence Malick, 6.7, PG-13, tt0478304, 122412, Drama  Fantasy, Nominated for 3 Oscars. Another 103 wins & 89 nominations.
We Need to Talk About Kevin, 2011, 21 Oct 2011, English, 112, Lynne Ramsay (screenplay)  Rory Stewart Kinnear (screenplay)  Lionel Shriver (novel), Lynne Ramsay, 7.5, R, tt1242460, 80370, Drama  Thriller, Nominated for 1 Golden Globe. Another 29 wins & 53 nominations.
Margin Call, 2011, 29 Sep 2011, English, 107, J.C. Chandor, J.C. Chandor, 7.1, R, tt1615147, 81219, Drama  Thriller, Nominated for 1 Oscar. Another 9 wins & 18 nominations.
Priest, 2011, 13 May 2011, English, 87, Cory Goodman  Min-Woo Hyung (graphic novel series "Priest"), Scott Stewart, 5.7, PG-13, tt0822847, 88899, Action  Fantasy  Horror, 3 nominations.
New Year's Eve, 2011, 9 Dec 2011, English, 113, Katherine Fugate, Garry Marshall, 5.6, PG-13, tt1598822, 59182, Comedy  Romance, 1 win & 8 nominations.
Sleeping Beauty, 2011, 2 Dec 2011, English, 101, Julia Leigh (screenplay), Julia Leigh, 5.3, NOT RATED, tt1588398, 22958, Drama  Romance, 5 wins & 30 nominations.
Season of the Witch, 2011, 7 Jan 2011, English, 95, Bragi F. Schut, Dominic Sena, 5.4, PG-13, tt0479997, 69557, Action  Adventure  Fantasy, 2 nominations.
Unknown, 2011, 18 Feb 2011, English, 113, Oliver Butcher (screenplay)  Stephen Cornwell (screenplay)  Didier Van Cauwelaert (novel), Jaume Collet-Serra, 6.9, PG-13, tt1401152, 190319, Action  Mystery  Thriller, 3 nominations.
Paul, 2011, 18 Mar 2011, English, 104, Simon Pegg  Nick Frost, Greg Mottola, 7.0, R, tt1092026, 169461, Adventure  Comedy  Sci-Fi, 1 win & 8 nominations.
Rango, 2011, 4 Mar 2011, English, 107, John Logan  John Logan (story)  Gore Verbinski (story)  James Ward Byrkit (story), Gore Verbinski, 7.3, PG, tt1192628, 159721, Animation  Adventure  Comedy, Won 1 Oscar. Another 43 wins & 22 nominations.
Melancholia, 2011, 26 May 2011, English, 130, Lars von Trier, Lars von Trier, 7.1, R, tt1529307, 110892, Drama  Sci-Fi, 43 wins & 60 nominations.
Hall Pass, 2011, 25 Feb 2011, English, 105, Pete Jones (screenplay)  Peter Farrelly (screenplay)  Kevin Barnett (screenplay)  Bobby Farrelly (screenplay)  Pete Jones (story), Bobby Farrelly  Peter Farrelly, 5.9, R, tt0480687, 95427, Comedy  Romance, N/A
The Ides of March, 2011, 7 Oct 2011, English, 101, George Clooney (screenplay)  Grant Heslov (screenplay)  Beau Willimon (screenplay)  Beau Willimon (play), George Clooney, 7.1, R, tt1124035, 174959, Drama, Nominated for 1 Oscar. Another 10 wins & 32 nominations.
The Smurfs, 2011, 29 Jul 2011, English, 103, J. David Stem (screenplay)  David N. Weiss (screenplay)  Jay Scherick (screenplay)  David Ronn (screenplay)  J. David Stem (story)  David N. Weiss (story)  Peyo (characters), Raja Gosnell, 5.5, PG, tt0472181, 60136, Animation  Adventure  Comedy, 2 wins & 7 nominations.
The Green Hornet, 2011, 14 Jan 2011, English, 119, Seth Rogen  Evan Goldberg  George W. Trendle (radio series "The Green Hornet"), Michel Gondry, 5.9, PG-13, tt0990407, 125303, Action  Comedy  Crime, 3 wins & 7 nominations.
Bad Teacher, 2011, 24 Jun 2011, English, 92, Gene Stupnitsky  Lee Eisenberg, Jake Kasdan, 5.7, R, tt1284575, 143213, Comedy, 6 wins & 3 nominations.
We Bought a Zoo, 2011, 23 Dec 2011, English, 124, Aline Brosh McKenna (screenplay)  Cameron Crowe (screenplay)  Benjamin Mee (book), Cameron Crowe, 7.1, PG, tt1389137, 99204, Comedy  Drama  Family, 1 win & 7 nominations.
The Adventures of Tintin, 2011, 21 Dec 2011, English, 107, Steven Moffat (screenplay)  Edgar Wright (screenplay)  Joe Cornish (screenplay)  Hergé (comic book series "The Adventures of Tintin"), Steven Spielberg, 7.4, PG, tt0983193, 160047, Animation  Action  Adventure, Nominated for 1 Oscar. Another 27 wins & 50 nominations.
War Horse, 2011, 25 Dec 2011, English, 146, Lee Hall (screenplay)  Richard Curtis (screenplay)  Michael Morpurgo (novel)  Nick Stafford (stage play), Steven Spielberg, 7.2, PG-13, tt1568911, 103373, Drama  War, Nominated for 6 Oscars. Another 18 wins & 65 nominations.
J. Edgar, 2011, 11 Nov 2011, English, 137, Dustin Lance Black, Clint Eastwood, 6.6, R, tt1616195, 91331, Biography  Crime  Drama, Nominated for 1 Golden Globe. Another 5 wins & 15 nominations.
Red Riding Hood, 2011, 11 Mar 2011, English, 100, David Johnson, Catherine Hardwicke, 5.4, PG-13, tt1486185, 80200, Fantasy  Horror  Mystery, 5 nominations.
The Hangover Part II, 2011, 26 May 2011, English, 102, Craig Mazin  Scot Armstrong  Todd Phillips  Jon Lucas (characters)  Scott Moore (characters), Todd Phillips, 6.5, R, tt1411697, 327642, Comedy, 5 wins & 14 nominations.
Cars 2, 2011, 24 Jun 2011, English, 106, John Lasseter (original story by)  Brad Lewis (original story by)  Dan Fogelman (original story by)  Ben Queen (screenplay), John Lasseter  Brad Lewis, 6.3, G, tt1216475, 84983, Animation  Adventure  Comedy, Nominated for 1 Golden Globe. Another 1 win & 17 nominations.
Water for Elephants, 2011, 22 Apr 2011, English, 120, Richard LaGravenese (screenplay)  Sara Gruen (novel), Francis Lawrence, 7.0, PG-13, tt1067583, 87441, Drama  Romance, 3 wins & 10 nominations.
Kung Fu Panda 2, 2011, 26 May 2011, English, 91, Jonathan Aibel  Glenn Berger, Jennifer Yuh, 7.3, PG, tt1302011, 145524, Animation  Action  Adventure, Nominated for 1 Oscar. Another 6 wins & 42 nominations.
The Lincoln Lawyer, 2011, 18 Mar 2011, English, 118, John Romano (screenplay)  Michael Connelly (novel), Brad Furman, 7.3, R, tt1189340, 157610, Crime  Drama  Thriller, 1 nomination.
A Separation, 2011, 16 Mar 2011, Persian, 123, Asghar Farhadi, Asghar Farhadi, 8.4, PG-13, tt1832382, 128909, Drama, Won 1 Oscar. Another 82 wins & 29 nominations.
Jack and Jill, 2011, 11 Nov 2011, English, 91, Steve Koren (screenplay)  Adam Sandler (screenplay)  Ben Zook (story), Dennis Dugan, 3.4, PG, tt0810913, 52487, Comedy, 13 wins & 5 nominations.
Super 8, 2011, 10 Jun 2011, English, 112, J.J. Abrams, J.J. Abrams, 7.1, PG-13, tt1650062, 261003, Mystery  Sci-Fi  Thriller, 11 wins & 54 nominations.
Fright Night, 2011, 19 Aug 2011, English, 106, Marti Noxon (screenplay)  Tom Holland (story)  Tom Holland (film "Fright Night"), Craig Gillespie, 6.4, R, tt1438176, 78117, Comedy  Horror, 4 wins & 4 nominations.
Cowboys, 2011, 1 Aug 2011, English, N/A, James Alexandrou, James Alexandrou, N/A, N/A, tt1986805, N/A, Short  Drama, 2 nominations.
