Daredevil, 2003, 14 Feb 2003, English, 103, Mark Steven Johnson (screenplay), Mark Steven Johnson, 5.3, PG-13, tt0287978, 156030, Action  Crime  Fantasy, 4 wins & 16 nominations.
The Last Samurai, 2003, 5 Dec 2003, English, 154, John Logan (story)  John Logan (screenplay)  Edward Zwick (screenplay)  Marshall Herskovitz (screenplay), Edward Zwick, 7.7, R, tt0325710, 281371, Action  Drama  History, Nominated for 4 Oscars. Another 20 wins & 45 nominations.
The Italian Job, 2003, 30 May 2003, English, 111, Troy Kennedy-Martin  Donna Powers (screenplay)  Wayne Powers (screenplay), F. Gary Gray, 7.0, PG-13, tt0317740, 258330, Action  Crime  Thriller, 7 wins & 7 nominations.
The Matrix Reloaded, 2003, 15 May 2003, English, 138, Andy Wachowski  Lana Wachowski  Andy Wachowski (characters)  Lana Wachowski (characters), Andy Wachowski  Lana Wachowski, 7.2, R, tt0234215, 381449, Action  Sci-Fi, 5 wins & 21 nominations.
Thirteen, 2003, 7 Nov 2003, English, 100, Catherine Hardwicke  Nikki Reed, Catherine Hardwicke, 6.9, R, tt0328538, 61847, Biography  Drama, Nominated for 1 Oscar. Another 15 wins & 41 nominations.
Bad Boys II, 2003, 18 Jul 2003, English, 147, George Gallo (characters)  Marianne Wibberley (story)  Cormac Wibberley (story)  Ron Shelton (story)  Ron Shelton (screenplay)  Jerry Stahl (screenplay), Michael Bay, 6.5, R, tt0172156, 158838, Action  Comedy  Crime, 5 wins & 12 nominations.
Wrong Turn, 2003, 30 May 2003, English, 84, Alan B. McElroy, Rob Schmidt, 6.1, R, tt0295700, 78156, Horror, 3 nominations.
Daredevil, 2003, 14 Feb 2003, English, 103, Mark Steven Johnson (screenplay), Mark Steven Johnson, 5.3, PG-13, tt0287978, 156030, Action  Crime  Fantasy, 4 wins & 16 nominations.
Hulk, 2003, 20 Jun 2003, English, 138, Stan Lee (Marvel comic book character)  Jack Kirby (Marvel comic book character)  James Schamus (story)  John Turman (screenplay)  Michael France (screenplay)  James Schamus (screenplay), Ang Lee, 5.7, PG-13, tt0286716, 189409, Action  Sci-Fi, 2 wins & 8 nominations.
Pirates of the Caribbean: The Curse of the Black Pearl, 2003, 9 Jul 2003, English, 143, Ted Elliott (screen story)  Terry Rossio (screen story)  Stuart Beattie (screen story)  Jay Wolpert (screen story)  Ted Elliott (screenplay)  Terry Rossio (screenplay), Gore Verbinski, 8.1, PG-13, tt0325980, 689343, Adventure  Fantasy, Nominated for 5 Oscars. Another 31 wins & 77 nominations.
Holes, 2003, 18 Apr 2003, English, 117, Louis Sachar (novel)  Louis Sachar (screenplay), Andrew Davis, 7.1, PG, tt0311289, 50476, Adventure  Comedy  Drama, 3 wins & 9 nominations.
The Lord of the Rings: The Return of the King, 2003, 17 Dec 2003, English, 201, J.R.R. Tolkien (novel)  Fran Walsh (screenplay)  Philippa Boyens (screenplay)  Peter Jackson (screenplay), Peter Jackson, 8.9, PG-13, tt0167260, 1027260, Adventure  Fantasy, Won 11 Oscars. Another 161 wins & 91 nominations.
Finding Nemo, 2003, 30 May 2003, English, 100, Andrew Stanton (original story by)  Andrew Stanton (screenplay)  Bob Peterson (screenplay)  David Reynolds (screenplay), Andrew Stanton  Lee Unkrich, 8.2, G, tt0266543, 560626, Animation  Adventure  Comedy, Won 1 Oscar. Another 45 wins & 51 nominations.
Kill Bill: Vol. 1, 2003, 10 Oct 2003, English, 111, Quentin Tarantino  Quentin Tarantino (character The Bride)  Uma Thurman (character The Bride), Quentin Tarantino, 8.1, R, tt0266697, 616328, Action, Nominated for 1 Golden Globe. Another 23 wins & 64 nominations.
Love Actually, 2003, 14 Nov 2003, English, 135, Richard Curtis, Richard Curtis, 7.7, R, tt0314331, 283917, Comedy  Drama  Romance, Nominated for 2 Golden Globes. Another 10 wins & 24 nominations.
2 Fast 2 Furious, 2003, 6 Jun 2003, English, 107, Gary Scott Thompson (characters)  Michael Brandt (story)  Derek Haas (story)  Gary Scott Thompson (story)  Michael Brandt (screenplay)  Derek Haas (screenplay), John Singleton, 5.8, PG-13, tt0322259, 158713, Action  Crime, 3 wins & 13 nominations.
Lost in Translation, 2003, 3 Oct 2003, English, 101, Sofia Coppola, Sofia Coppola, 7.8, R, tt0335266, 290126, Drama, Won 1 Oscar. Another 107 wins & 77 nominations.
The Room, 2003, 27 Jun 2003, English, 99, Tommy Wiseau, Tommy Wiseau, 3.5, R, tt0368226, 24076, Drama, 1 win.
Monster, 2003, 30 Jan 2004, English, 109, Patty Jenkins, Patty Jenkins, 7.3, R, tt0340855, 93941, Biography  Crime  Drama, Won 1 Oscar. Another 28 wins & 16 nominations.
Legally Blonde 2: Red  White & Blonde, 2003, 2 Jul 2003, English, 95, Amanda Brown (characters)  Eve Ahlert (story)  Dennis Drake (story)  Kate Kondell (story)  Kate Kondell (screenplay), Charles Herman-Wurmfeld, 4.5, PG-13, tt0333780, 39591, Comedy, 3 wins & 3 nominations.
School of Rock, 2003, 3 Oct 2003, English, 108, Mike White, Richard Linklater, 7.1, PG-13, tt0332379, 184232, Comedy  Music, Nominated for 1 Golden Globe. Another 8 wins & 13 nominations.
A Story of Survival: Behind the Scenes of 'The Pianist', 2003, 27 May 2003, English, 39, N/A, N/A, 7.5, N/A, tt0371961, 63, Documentary  Short, N/A
Underworld, 2003, 19 Sep 2003, English, 121, Kevin Grevioux (story)  Len Wiseman (story)  Danny McBride (story)  Danny McBride (screenplay), Len Wiseman, 7.0, R, tt0320691, 186916, Action  Fantasy  Thriller, 1 win & 8 nominations.
Peter Pan, 2003, 25 Dec 2003, English, 113, J.M. Barrie (play)  P.J. Hogan (screenplay)  Michael Goldenberg (screenplay), P.J. Hogan, 6.9, PG, tt0316396, 48118, Adventure  Family  Fantasy, 3 wins & 12 nominations.
Mystic River, 2003, 15 Oct 2003, English, 138, Brian Helgeland (screenplay)  Dennis Lehane (novel), Clint Eastwood, 8.0, R, tt0327056, 307647, Crime  Drama  Mystery, Won 2 Oscars. Another 75 wins & 89 nominations.
Big Fish, 2003, 9 Jan 2004, English, 125, Daniel Wallace (novel)  John August (screenplay), Tim Burton, 8.0, PG-13, tt0319061, 324140, Adventure  Drama  Fantasy, Nominated for 1 Oscar. Another 2 wins & 45 nominations.
Terminator 3: Rise of the Machines, 2003, 2 Jul 2003, English, 109, James Cameron (characters)  Gale Anne Hurd (characters)  John D. Brancato (story)  Michael Ferris (story)  Tedi Sarafian (story)  John D. Brancato (screenplay)  Michael Ferris (screenplay), Jonathan Mostow, 6.4, R, tt0181852, 260635, Action  Sci-Fi, 2 wins & 17 nominations.
The Last Samurai, 2003, 5 Dec 2003, English, 154, John Logan (story)  John Logan (screenplay)  Edward Zwick (screenplay)  Marshall Herskovitz (screenplay), Edward Zwick, 7.7, R, tt0325710, 281371, Action  Drama  History, Nominated for 4 Oscars. Another 20 wins & 45 nominations.
The Italian Job, 2003, 30 May 2003, English, 111, Troy Kennedy-Martin  Donna Powers (screenplay)  Wayne Powers (screenplay), F. Gary Gray, 7.0, PG-13, tt0317740, 258330, Action  Crime  Thriller, 7 wins & 7 nominations.
The Matrix Reloaded, 2003, 15 May 2003, English, 138, Andy Wachowski  Lana Wachowski  Andy Wachowski (characters)  Lana Wachowski (characters), Andy Wachowski  Lana Wachowski, 7.2, R, tt0234215, 381449, Action  Sci-Fi, 5 wins & 21 nominations.
Thirteen, 2003, 7 Nov 2003, English, 100, Catherine Hardwicke  Nikki Reed, Catherine Hardwicke, 6.9, R, tt0328538, 61847, Biography  Drama, Nominated for 1 Oscar. Another 15 wins & 41 nominations.
Bad Boys II, 2003, 18 Jul 2003, English, 147, George Gallo (characters)  Marianne Wibberley (story)  Cormac Wibberley (story)  Ron Shelton (story)  Ron Shelton (screenplay)  Jerry Stahl (screenplay), Michael Bay, 6.5, R, tt0172156, 158838, Action  Comedy  Crime, 5 wins & 12 nominations.
Wrong Turn, 2003, 30 May 2003, English, 84, Alan B. McElroy, Rob Schmidt, 6.1, R, tt0295700, 78156, Horror, 3 nominations.
Master and Commander: The Far Side of the World, 2003, 14 Nov 2003, English, 138, Patrick O'Brian (novels)  Peter Weir (screenplay)  John Collee (screenplay), Peter Weir, 7.4, PG-13, tt0311113, 155199, Action  Adventure  Drama, Won 2 Oscars. Another 22 wins & 74 nominations.
Identity, 2003, 25 Apr 2003, English, 90, Michael Cooney, James Mangold, 7.3, R, tt0309698, 158044, Mystery  Thriller, 6 nominations.
Shania Up! Live in Chicago, 2003, 19 Aug 2003, English, 120, N/A, Beth McCarthy-Miller, 8.2, TV-PG, tt0378749, 134, Music, N/A
The League of Extraordinary Gentlemen, 2003, 11 Jul 2003, English, 110, Alan Moore (comic books)  Kevin O'Neill (comic books)  James Robinson (screenplay), Stephen Norrington, 5.8, PG-13, tt0311429, 129023, Action  Adventure  Fantasy, 6 nominations.
Old School, 2003, 21 Feb 2003, English, 91, Court Crandall (story)  Todd Phillips (story)  Scot Armstrong (story)  Todd Phillips (screenplay)  Scot Armstrong (screenplay), Todd Phillips, 7.2, R, tt0302886, 173467, Comedy, 4 nominations.
Cold Mountain, 2003, 25 Dec 2003, English, 154, Charles Frazier (book)  Anthony Minghella (screenplay), Anthony Minghella, 7.2, R, tt0159365, 109659, Drama  History  Romance, Won 1 Oscar. Another 22 wins & 73 nominations.
The Matrix Revolutions, 2003, 5 Nov 2003, English, 129, Andy Wachowski  Lana Wachowski  Andy Wachowski (characters)  Lana Wachowski (characters), Andy Wachowski  Lana Wachowski, 6.7, R, tt0242653, 328769, Action  Sci-Fi, 1 win & 19 nominations.
Lights  Camera  Creeper: Making 'Jeepers Creepers 2', 2003, 23 Dec 2003, English, 40, N/A, Greg Carson, 6.8, N/A, tt0388147, 25, Documentary  Short, N/A
Dreamcatcher, 2003, 21 Mar 2003, English, 134, Stephen King (novel)  William Goldman (screenplay)  Lawrence Kasdan (screenplay), Lawrence Kasdan, 5.5, R, tt0285531, 69903, Drama  Horror  Sci-Fi, 2 wins & 2 nominations.
Cheaper by the Dozen, 2003, 25 Dec 2003, English, 98, Frank B. Gilbreth Jr. (novel)  Ernestine Gilbreth Carey (novel)  Craig Titley (screen story)  Sam Harper (screenplay)  Joel Cohen (screenplay)  Alec Sokolow (screenplay), Shawn Levy, 5.8, PG, tt0349205, 66468, Comedy  Family, 2 wins & 7 nominations.
House of 1000 Corpses, 2003, 11 Apr 2003, English, 89, Rob Zombie, Rob Zombie, 6.0, R, tt0251736, 55223, Horror, 6 wins & 2 nominations.
How to Lose a Guy in 10 Days, 2003, 7 Feb 2003, English, 116, Michele Alexander (book)  Jeannie Long (book)  Kristen Buckley (screenplay)  Brian Regan (screenplay)  Burr Steers (screenplay), Donald Petrie, 6.3, PG-13, tt0251127, 132214, Comedy  Romance, 1 win & 7 nominations.
She Shoots  She Scores: The Making of 'Bend It Like Beckham', 2003, N/A, English, 15, N/A, N/A, 6.8, N/A, tt0401784, 43, Documentary  Short, N/A
Freddy vs. Jason, 2003, 15 Aug 2003, English, 97, Wes Craven (characters)  Victor Miller (characters)  Damian Shannon  Mark Swift, Ronny Yu, 5.8, R, tt0329101, 80702, Horror  Thriller, 3 wins & 6 nominations.
The Texas Chainsaw Massacre, 2003, 17 Oct 2003, English, 98, Kim Henkel  Tobe Hooper  Scott Kosar (screenplay), Marcus Nispel, 6.2, R, tt0324216, 98391, Horror, 7 wins & 11 nominations.
S.W.A.T., 2003, 8 Aug 2003, English, 117, Robert Hamner (characters)  Ron Mita (story)  Jim McClain (story)  David Ayer (screenplay)  David McKenna (screenplay), Clark Johnson, 6.0, PG-13, tt0257076, 110329, Action  Crime  Thriller, 4 wins & 5 nominations.
The Hours of the Day, 2003, 6 Jun 2003, Spanish, 103, Jaime Rosales  Enric Rufas, Jaime Rosales, 6.5, N/A, tt0367863, 515, Drama  Crime, 8 wins & 7 nominations.
Once Upon a Time in Mexico, 2003, 12 Sep 2003, English, 102, Robert Rodriguez, Robert Rodriguez, 6.4, R, tt0285823, 118644, Action  Thriller, 3 wins & 4 nominations.
Charlie's Angels: Full Throttle, 2003, 27 Jun 2003, English, 106, Ivan Goff (television series)  Ben Roberts (television series)  John August (story)  John August (screenplay)  Cormac Wibberley (screenplay)  Marianne Wibberley (screenplay), McG, 4.8, PG-13, tt0305357, 93201, Action  Adventure  Comedy, 8 wins & 14 nominations.
Scary Movie 3, 2003, 24 Oct 2003, English, 84, Craig Mazin  Pat Proft  Shawn Wayans (characters)  Marlon Wayans (characters)  Buddy Johnson (characters)  Phil Beauman (characters)  Jason Friedberg (characters)  Aaron Seltzer (characters), David Zucker, 5.4, PG-13, tt0306047, 99809, Comedy, 2 wins & 2 nominations.
21 Grams, 2003, 19 Nov 2003, English, 124, Guillermo Arriaga, Alejandro González Iñárritu, 7.7, R, tt0315733, 171637, Crime  Drama  Thriller, Nominated for 2 Oscars. Another 34 wins & 50 nominations.
The Core, 2003, 28 Mar 2003, English, 135, Cooper Layne  John Rogers, Jon Amiel, 5.4, PG-13, tt0298814, 70991, Action  Adventure  Sci-Fi, N/A
The Animatrix, 2003, 3 Jun 2003, English, 102, Andy Wachowski (screenplay)  Lana Wachowski (screenplay)  Andy Wachowski  Lana Wachowski  Yoshiaki Kawajiri  Kôji Morimoto  Shinichirô Watanabe  Peter Chung, Peter Chung  Andrew R. Jones  Yoshiaki Kawajiri  Takeshi Koike  Mahiro Maeda  Kôji Morimoto  Shinichirô Watanabe, 7.4, PG-13, tt0328832, 56080, Animation  Action  Adventure, 2 wins & 2 nominations.
Johnny English, 2003, 18 Jul 2003, English, 87, Neal Purvis  Robert Wade  William Davies, Peter Howitt, 6.1, PG, tt0274166, 103828, Action  Adventure  Comedy, 4 nominations.
Anger Management, 2003, 11 Apr 2003, English, 106, David Dorfman, Peter Segal, 6.2, PG-13, tt0305224, 156834, Comedy, 2 wins & 5 nominations.
Seabiscuit, 2003, 25 Jul 2003, English, 140, Laura Hillenbrand (book)  Gary Ross (screenplay), Gary Ross, 7.3, PG-13, tt0329575, 54277, Drama  History  Sport, Nominated for 7 Oscars. Another 6 wins & 33 nominations.
The Rundown, 2003, 26 Sep 2003, English, 104, R.J. Stewart (story)  R.J. Stewart (screenplay)  James Vanderbilt (screenplay), Peter Berg, 6.7, PG-13, tt0327850, 75716, Action  Adventure  Comedy, 2 wins & 3 nominations.
American Wedding, 2003, 1 Aug 2003, English, 96, Adam Herz (characters)  Adam Herz, Jesse Dylan, 6.3, R, tt0328828, 146219, Comedy  Romance, 3 wins & 6 nominations.
Elf, 2003, 7 Nov 2003, English, 97, David Berenbaum, Jon Favreau, 6.9, PG, tt0319343, 128740, Comedy  Family  Fantasy, 2 wins & 7 nominations.
Tears of the Sun, 2003, 7 Mar 2003, English, 121, Alex Lasker  Patrick Cirillo, Antoine Fuqua, 6.6, R, tt0314353, 84882, Action  Drama  Thriller, 2 nominations.
Bruce Almighty, 2003, 23 May 2003, English, 101, Steve Koren (story)  Mark O'Keefe (story)  Steve Koren (screenplay)  Mark O'Keefe (screenplay)  Steve Oedekerk (screenplay), Tom Shadyac, 6.7, PG-13, tt0315327, 260450, Comedy  Drama  Fantasy, 7 wins & 7 nominations.
Girl with a Pearl Earring, 2003, 9 Jan 2004, English, 100, Tracy Chevalier (novel)  Olivia Hetreed (screenplay), Peter Webber, 7.0, PG-13, tt0335119, 54978, Biography  Drama  Romance, Nominated for 3 Oscars. Another 17 wins & 38 nominations.
What a Girl Wants, 2003, 4 Apr 2003, English, 105, William Douglas-Home (play)  William Douglas-Home  Jenny Bicks (screenplay)  Elizabeth Chandler (screenplay), Dennie Gordon, 5.8, PG, tt0286788, 42097, Comedy  Drama  Romance, 1 win.
Shanghai Knights, 2003, 7 Feb 2003, English, 114, Alfred Gough (characters)  Miles Millar (characters)  Alfred Gough  Miles Millar, David Dobkin, 6.2, PG-13, tt0300471, 71192, Action  Adventure  Comedy, 4 nominations.
The Lizzie McGuire Movie, 2003, 2 May 2003, English, 94, Susan Estelle Jansen  Ed Decter  John J. Strauss  Terri Minsky (characters), Jim Fall, 5.3, PG, tt0306841, 23456, Adventure  Comedy  Family, 2 wins & 3 nominations.
The Making of 'Whale Rider', 2003, 28 Jan 2003, English, 60, N/A, Jonathan Brough, 7.1, N/A, tt0403261, 38, Documentary, N/A
The Life of David Gale, 2003, 21 Feb 2003, English, 130, Charles Randolph, Alan Parker, 7.5, R, tt0289992, 79362, Crime  Drama  Thriller, 3 nominations.
Freaky Friday, 2003, 6 Aug 2003, English, 97, Mary Rodgers (novel)  Heather Hach (screenplay)  Leslie Dixon (screenplay), Mark Waters, 6.1, PG, tt0322330, 85100, Comedy  Family  Fantasy, Nominated for 1 Golden Globe. Another 5 wins & 9 nominations.
Just Married, 2003, 10 Jan 2003, English, 95, Sam Harper, Shawn Levy, 5.4, PG-13, tt0305711, 52287, Comedy  Romance, 9 nominations.
Dr. Seuss' The Cat in the Hat, 2003, 21 Nov 2003, English, 82, Dr. Seuss (book)  Alec Berg (screenplay)  David Mandel (screenplay)  Jeff Schaffer (screenplay), Bo Welch, 3.8, PG, tt0312528, 32539, Adventure  Comedy  Family, 3 wins & 13 nominations.
Something's Gotta Give, 2003, 12 Dec 2003, English, 128, Nancy Meyers, Nancy Meyers, 6.7, PG-13, tt0337741, 83229, Comedy  Drama  Romance, Nominated for 1 Oscar. Another 7 wins & 8 nominations.
Timeline, 2003, 26 Nov 2003, English, 116, Michael Crichton (novel)  Jeff Maguire (screenplay)  George Nolfi (screenplay), Richard Donner, 5.6, PG-13, tt0300556, 49849, Action  Adventure  Sci-Fi, N/A
Dumb and Dumberer: When Harry Met Lloyd, 2003, 13 Jun 2003, English, 85, Peter Farrelly (characters)  Bennett Yellin (characters)  Bobby Farrelly (characters)  Robert Brener (story)  Robert Brener (screenplay)  Troy Miller (screenplay), Troy Miller, 3.4, PG-13, tt0329028, 28699, Comedy, 5 nominations.
Open Range, 2003, 15 Aug 2003, English, 139, Lauran Paine (novel)  Craig Storper (screenplay), Kevin Costner, 7.5, R, tt0316356, 49733, Action  Romance  Western, 1 win & 4 nominations.
Paycheck, 2003, 25 Dec 2003, English, 119, Philip K. Dick (short story)  Dean Georgaris (screenplay), John Woo, 6.3, PG-13, tt0338337, 83985, Action  Mystery  Sci-Fi, 2 wins & 2 nominations.
Lara Croft Tomb Raider: The Cradle of Life, 2003, 25 Jul 2003, English, 117, Dean Georgaris (screenplay)  Steven E. de Souza (story)  James V. Hart (story), Jan de Bont, 5.5, PG-13, tt0325703, 91300, Action  Adventure  Fantasy, 1 win & 2 nominations.
Daddy Day Care, 2003, 9 May 2003, English, 92, Geoff Rodkey, Steve Carr, 5.5, PG, tt0317303, 43950, Comedy  Family, 1 win & 6 nominations.
Brother Bear, 2003, 1 Nov 2003, English, 85, Tab Murphy (screenplay)  Lorne Cameron (screenplay)  David Hoselton (screenplay)  Steve Bencich (screenplay)  Ron J. Friedman (screenplay)  Stephen J. Anderson (story)  Stevie Wermers (story)  Kevin Deters (story)  Woody Woodman (story)  Thom Enriquez (story)  Kevin Harkey (story)  Broose Johnson (story)  John Norton (story)  John Puglisi (story)  Tim Hodge (additional story)  Tom LaBaff (additional story)  Ray Shenusay (additional story)  Brian Pimental (additional story)  Jim Story (additional story)  Don Dougherty (additional story)  Don Hall (additional story)  Samuel Levine (additional story)  Aurian Redson (additional story)  Chris Williams (additional story)  Jeff Hand (additional story material), Aaron Blaise  Robert Walker, 6.7, G, tt0328880, 58518, Animation  Adventure  Family, Nominated for 1 Oscar. Another 2 wins & 19 nominations.
Out of Time, 2003, 3 Oct 2003, English, 105, David Collard, Carl Franklin, 6.5, R, tt0313443, 41892, Action  Crime  Drama, 4 wins & 7 nominations.
Secondhand Lions, 2003, 19 Sep 2003, English, 109, Tim McCanlies, Tim McCanlies, 7.6, PG, tt0327137, 39984, Comedy  Drama  Family, 5 nominations.
Runaway Jury, 2003, 17 Oct 2003, English, 127, John Grisham (novel)  Brian Koppelman (screenplay)  David Levien (screenplay)  Rick Cleveland (screenplay)  Matthew Chapman (screenplay), Gary Fleder, 7.1, PG-13, tt0313542, 71991, Drama  Thriller, 3 nominations.
Stuck on You, 2003, 12 Dec 2003, English, 118, Charles B. Wessler (story)  Bennett Yellin (story)  Peter Farrelly (story)  Bobby Farrelly (story)  Peter Farrelly (screenplay)  Bobby Farrelly (screenplay), Bobby Farrelly  Peter Farrelly, 5.8, PG-13, tt0338466, 41305, Comedy, 1 nomination.
The Station Agent, 2003, 5 Dec 2003, English, 89, Thomas McCarthy, Thomas McCarthy, 7.7, R, tt0340377, 52019, Comedy  Drama, Won 1 BAFTA Film Award. Another 29 wins & 26 nominations.
Radio, 2003, 24 Oct 2003, English, 109, Mike Rich, Michael Tollin, 6.9, PG, tt0316465, 30247, Biography  Drama  Sport, 3 wins & 3 nominations.
Elephant, 2003, 3 Oct 2003, English, 81, Gus Van Sant, Gus Van Sant, 7.2, R, tt0363589, 65597, Crime  Drama  Thriller, 8 wins & 7 nominations.
Chaplin Today: Modern Times, 2003, 1 Jul 2003, English, 26, N/A, Philippe Truffault, 7.2, N/A, tt0404868, 93, Documentary, N/A
Agent Cody Banks, 2003, 14 Mar 2003, English, 102, Ashley Miller (screenplay)  Zack Stentz (screenplay)  Scott Alexander (screenplay)  Larry Karaszewski (screenplay)  Jeffrey Jurgensen (story), Harald Zwart, 5.0, PG, tt0313911, 23528, Action  Adventure  Comedy, 4 nominations.
Final Destination 2, 2003, 31 Jan 2003, English, 90, J. Mackye Gruber (screenplay)  Eric Bress (screenplay)  J. Mackye Gruber (story)  Eric Bress (story)  Jeffrey Reddick (story)  Jeffrey Reddick (characters), David R. Ellis, 6.2, R, tt0309593, 108352, Horror  Thriller, 4 nominations.
Gigli, 2003, 1 Aug 2003, English, 121, Martin Brest, Martin Brest, 2.3, R, tt0299930, 39495, Comedy  Crime  Romance, 7 wins & 6 nominations.
Honey, 2003, 5 Dec 2003, English, 94, Alonzo Brown  Kim Watson, Bille Woodruff, 5.2, PG-13, tt0322589, 33325, Drama  Music  Romance, 8 nominations.
The Haunted Mansion, 2003, 26 Nov 2003, English, 88, David Berenbaum, Rob Minkoff, 4.9, PG, tt0338094, 28214, Comedy  Family  Fantasy, 1 win & 4 nominations.
Cabin Fever, 2003–, 01 Jun 2003, English, N/A, N/A, N/A, 2.9, N/A, tt0498879, 14, Reality-TV, N/A
Gothika, 2003, 21 Nov 2003, English, 98, Sebastian Gutierrez, Mathieu Kassovitz, 5.8, R, tt0348836, 82386, Horror  Thriller, 2 wins & 7 nominations.
Mona Lisa Smile, 2003, 19 Dec 2003, English, 117, Lawrence Konner  Mark Rosenthal, Mike Newell, 6.4, PG-13, tt0304415, 55558, Drama, Nominated for 1 Golden Globe. Another 5 nominations.
