The Curious Case of Benjamin Button, 2008, 25 Dec 2008, English, 166, Eric Roth (screenplay)  Eric Roth (story)  Robin Swicord (story)  F. Scott Fitzgerald (short story), David Fincher, 7.8, PG-13, tt0421715, 401365, Drama  Fantasy  Romance, Won 3 Oscars. Another 69 wins & 118 nominations.
Jumper, 2008, 14 Feb 2008, English, 88, David S. Goyer (screenplay)  Jim Uhls (screenplay)  Simon Kinberg (screenplay)  Steven Gould (novel), Doug Liman, 6.1, PG-13, tt0489099, 218955, Action  Adventure  Sci-Fi, 2 wins & 4 nominations.
Valkyrie, 2008, 25 Dec 2008, English, 121, Christopher McQuarrie  Nathan Alexander, Bryan Singer, 7.1, PG-13, tt0985699, 162879, Drama  Thriller  War, 2 wins & 11 nominations.
WALL·E, 2008, 27 Jun 2008, English, 98, Andrew Stanton (original story by)  Pete Docter (original story by)  Andrew Stanton (screenplay)  Jim Reardon (screenplay), Andrew Stanton, 8.4, G, tt0910970, 589203, Animation  Adventure  Family, Won 1 Oscar. Another 83 wins & 65 nominations.
Gran Torino, 2008, 9 Jan 2009, English, 116, Nick Schenk (screenplay)  Dave Johannson (story)  Nick Schenk (story), Clint Eastwood, 8.2, R, tt1205489, 482885, Drama, Nominated for 1 Golden Globe. Another 22 wins & 10 nominations.
The Happening, 2008, 13 Jun 2008, English, 91, M. Night Shyamalan, M. Night Shyamalan, 5.1, R, tt0949731, 149736, Drama  Sci-Fi  Thriller, 3 wins & 6 nominations.
Mamma Mia!, 2008, 18 Jul 2008, English, 108, Catherine Johnson (screenplay)  Catherine Johnson (musical book), Phyllida Lloyd, 6.4, PG-13, tt0795421, 125885, Comedy  Musical  Romance, Nominated for 2 Golden Globes. Another 13 wins & 20 nominations.
RocknRolla, 2008, 31 Oct 2008, English, 114, Guy Ritchie, Guy Ritchie, 7.3, R, tt1032755, 173842, Action  Crime  Thriller, 2 wins & 4 nominations.
Quantum of Solace, 2008, 14 Nov 2008, English, 106, Paul Haggis  Neal Purvis  Robert Wade, Marc Forster, 6.7, PG-13, tt0830515, 277478, Action  Adventure, Nominated for 2 BAFTA Film Awards. Another 4 wins & 27 nominations.
Journey to the Center of the Earth, 2008, 11 Jul 2008, English, 93, Michael D. Weiss (screenplay)  Jennifer Flackett (screenplay)  Mark Levin (screenplay)  Jules Verne (novel), Eric Brevig, 5.8, PG, tt0373051, 72703, Action  Adventure  Family, 1 win & 3 nominations.
The House Bunny, 2008, 22 Aug 2008, English, 97, Karen McCullah  Kirsten Smith, Fred Wolf, 5.5, PG-13, tt0852713, 57294, Comedy  Romance, 2 nominations.
Vicky Cristina Barcelona, 2008, 15 Aug 2008, English, 96, Woody Allen, Woody Allen, 7.2, PG-13, tt0497465, 174783, Drama  Romance, Won 1 Oscar. Another 33 wins & 41 nominations.
Slumdog Millionaire, 2008, 25 Dec 2008, English, 120, Simon Beaufoy (screenplay)  Vikas Swarup (novel), Danny Boyle  Loveleen Tandan, 8.0, R, tt1010048, 562047, Drama  Romance, Won 8 Oscars. Another 153 wins & 90 nominations.
27 Dresses, 2008, 18 Jan 2008, English, 111, Aline Brosh McKenna, Anne Fletcher, 6.1, PG-13, tt0988595, 107018, Comedy  Romance, 5 wins & 3 nominations.
Punisher: War Zone, 2008, 5 Dec 2008, English, 103, Nick Santora  Art Marcum  Matt Holloway, Lexi Alexander, 6.0, R, tt0450314, 43381, Action  Crime  Drama, 1 win & 1 nomination.
In Bruges, 2008, 18 Apr 2008, English, 107, Martin McDonagh, Martin McDonagh, 8.0, R, tt0780536, 274006, Comedy  Crime  Drama, Nominated for 1 Oscar. Another 19 wins & 43 nominations.
Seven Pounds, 2008, 19 Dec 2008, English, 123, Grant Nieporte, Gabriele Muccino, 7.7, PG-13, tt0814314, 208970, Drama, 5 wins & 6 nominations.
Bedtime Stories, 2008, 25 Dec 2008, English, 99, Matt Lopez (screenplay)  Tim Herlihy (screenplay)  Matt Lopez (story), Adam Shankman, 6.1, PG, tt0960731, 65089, Comedy  Family  Fantasy, 2 wins & 5 nominations.
Pineapple Express, 2008, 6 Aug 2008, English, 111, Seth Rogen (screenplay)  Evan Goldberg (screenplay)  Judd Apatow (story)  Seth Rogen (story)  Evan Goldberg (story), David Gordon Green, 7.0, R, tt0910936, 222649, Action  Comedy  Crime, Nominated for 1 Golden Globe. Another 3 wins & 6 nominations.
The Dark Knight, 2008, 18 Jul 2008, English, 152, Jonathan Nolan (screenplay)  Christopher Nolan (screenplay)  Christopher Nolan (story)  David S. Goyer (story)  Bob Kane (characters), Christopher Nolan, 9.0, PG-13, tt0468569, 1415902, Action  Crime  Drama, Won 2 Oscars. Another 137 wins & 106 nominations.
The Incredible Hulk, 2008, 13 Jun 2008, English, 112, Zak Penn (screenplay)  Zak Penn (screen story), Louis Leterrier, 6.9, PG-13, tt0800080, 281809, Action  Adventure  Romance, 1 win & 5 nominations.
Iron Man, 2008, 2 May 2008, English, 126, Mark Fergus (screenplay)  Hawk Ostby (screenplay)  Art Marcum (screenplay)  Matt Holloway (screenplay)  Stan Lee (characters)  Don Heck (characters)  Larry Lieber (characters)  Jack Kirby (characters), Jon Favreau, 7.9, PG-13, tt0371746, 576710, Action  Adventure  Sci-Fi, Nominated for 2 Oscars. Another 18 wins & 51 nominations.
Twilight, 2008, 21 Nov 2008, English, 122, Melissa Rosenberg (screenplay)  Stephenie Meyer (novel), Catherine Hardwicke, 5.2, PG-13, tt1099212, 316826, Drama  Fantasy  Romance, 25 wins & 11 nominations.
Indiana Jones and the Kingdom of the Crystal Skull, 2008, 22 May 2008, English, 122, David Koepp (screenplay)  George Lucas (story)  Jeff Nathanson (story)  George Lucas (characters)  Philip Kaufman (characters), Steven Spielberg, 6.2, PG-13, tt0367882, 292075, Action  Adventure, Nominated for 1 BAFTA Film Award. Another 8 wins & 31 nominations.
The Boy in the Striped Pajamas, 2008, 28 Nov 2008, English, 94, John Boyne (novel)  Mark Herman (screenplay), Mark Herman, 7.8, PG-13, tt0914798, 110397, Drama  War, 7 wins & 7 nominations.
Wanted, 2008, 27 Jun 2008, English, 110, Michael Brandt (screenplay)  Derek Haas (screenplay)  Chris Morgan (screenplay)  Michael Brandt (story)  Derek Haas (story)  Mark Millar (comic book series)  J.G. Jones (comic book series), Timur Bekmambetov, 6.7, R, tt0493464, 271589, Action  Crime  Fantasy, Nominated for 2 Oscars. Another 3 wins & 15 nominations.
Tropic Thunder, 2008, 13 Aug 2008, English, 107, Justin Theroux (screenplay)  Ben Stiller (screenplay)  Etan Cohen (screenplay)  Ben Stiller (story)  Justin Theroux (story), Ben Stiller, 7.0, R, tt0942385, 274026, Action  Comedy, Nominated for 1 Oscar. Another 12 wins & 28 nominations.
Doomsday, 2008, 14 Mar 2008, English, 105, Neil Marshall, Neil Marshall, 6.0, R, tt0483607, 59039, Action  Sci-Fi  Thriller, N/A
Step Brothers, 2008, 25 Jul 2008, English, 98, Will Ferrell (screenplay)  Adam McKay (screenplay)  Will Ferrell (story)  Adam McKay (story)  John C. Reilly (story), Adam McKay, 6.9, R, tt0838283, 187960, Comedy, 4 wins & 1 nomination.
The Curious Case of Benjamin Button, 2008, 25 Dec 2008, English, 166, Eric Roth (screenplay)  Eric Roth (story)  Robin Swicord (story)  F. Scott Fitzgerald (short story), David Fincher, 7.8, PG-13, tt0421715, 401365, Drama  Fantasy  Romance, Won 3 Oscars. Another 69 wins & 118 nominations.
Jumper, 2008, 14 Feb 2008, English, 88, David S. Goyer (screenplay)  Jim Uhls (screenplay)  Simon Kinberg (screenplay)  Steven Gould (novel), Doug Liman, 6.1, PG-13, tt0489099, 218955, Action  Adventure  Sci-Fi, 2 wins & 4 nominations.
Valkyrie, 2008, 25 Dec 2008, English, 121, Christopher McQuarrie  Nathan Alexander, Bryan Singer, 7.1, PG-13, tt0985699, 162879, Drama  Thriller  War, 2 wins & 11 nominations.
WALL·E, 2008, 27 Jun 2008, English, 98, Andrew Stanton (original story by)  Pete Docter (original story by)  Andrew Stanton (screenplay)  Jim Reardon (screenplay), Andrew Stanton, 8.4, G, tt0910970, 589203, Animation  Adventure  Family, Won 1 Oscar. Another 83 wins & 65 nominations.
Gran Torino, 2008, 9 Jan 2009, English, 116, Nick Schenk (screenplay)  Dave Johannson (story)  Nick Schenk (story), Clint Eastwood, 8.2, R, tt1205489, 482885, Drama, Nominated for 1 Golden Globe. Another 22 wins & 10 nominations.
The Happening, 2008, 13 Jun 2008, English, 91, M. Night Shyamalan, M. Night Shyamalan, 5.1, R, tt0949731, 149736, Drama  Sci-Fi  Thriller, 3 wins & 6 nominations.
Mamma Mia!, 2008, 18 Jul 2008, English, 108, Catherine Johnson (screenplay)  Catherine Johnson (musical book), Phyllida Lloyd, 6.4, PG-13, tt0795421, 125885, Comedy  Musical  Romance, Nominated for 2 Golden Globes. Another 13 wins & 20 nominations.
RocknRolla, 2008, 31 Oct 2008, English, 114, Guy Ritchie, Guy Ritchie, 7.3, R, tt1032755, 173842, Action  Crime  Thriller, 2 wins & 4 nominations.
Quantum of Solace, 2008, 14 Nov 2008, English, 106, Paul Haggis  Neal Purvis  Robert Wade, Marc Forster, 6.7, PG-13, tt0830515, 277478, Action  Adventure, Nominated for 2 BAFTA Film Awards. Another 4 wins & 27 nominations.
Journey to the Center of the Earth, 2008, 11 Jul 2008, English, 93, Michael D. Weiss (screenplay)  Jennifer Flackett (screenplay)  Mark Levin (screenplay)  Jules Verne (novel), Eric Brevig, 5.8, PG, tt0373051, 72703, Action  Adventure  Family, 1 win & 3 nominations.
The House Bunny, 2008, 22 Aug 2008, English, 97, Karen McCullah  Kirsten Smith, Fred Wolf, 5.5, PG-13, tt0852713, 57294, Comedy  Romance, 2 nominations.
Vicky Cristina Barcelona, 2008, 15 Aug 2008, English, 96, Woody Allen, Woody Allen, 7.2, PG-13, tt0497465, 174783, Drama  Romance, Won 1 Oscar. Another 33 wins & 41 nominations.
Slumdog Millionaire, 2008, 25 Dec 2008, English, 120, Simon Beaufoy (screenplay)  Vikas Swarup (novel), Danny Boyle  Loveleen Tandan, 8.0, R, tt1010048, 562047, Drama  Romance, Won 8 Oscars. Another 153 wins & 90 nominations.
27 Dresses, 2008, 18 Jan 2008, English, 111, Aline Brosh McKenna, Anne Fletcher, 6.1, PG-13, tt0988595, 107018, Comedy  Romance, 5 wins & 3 nominations.
Punisher: War Zone, 2008, 5 Dec 2008, English, 103, Nick Santora  Art Marcum  Matt Holloway, Lexi Alexander, 6.0, R, tt0450314, 43381, Action  Crime  Drama, 1 win & 1 nomination.
In Bruges, 2008, 18 Apr 2008, English, 107, Martin McDonagh, Martin McDonagh, 8.0, R, tt0780536, 274006, Comedy  Crime  Drama, Nominated for 1 Oscar. Another 19 wins & 43 nominations.
Seven Pounds, 2008, 19 Dec 2008, English, 123, Grant Nieporte, Gabriele Muccino, 7.7, PG-13, tt0814314, 208970, Drama, 5 wins & 6 nominations.
Bedtime Stories, 2008, 25 Dec 2008, English, 99, Matt Lopez (screenplay)  Tim Herlihy (screenplay)  Matt Lopez (story), Adam Shankman, 6.1, PG, tt0960731, 65089, Comedy  Family  Fantasy, 2 wins & 5 nominations.
Pineapple Express, 2008, 6 Aug 2008, English, 111, Seth Rogen (screenplay)  Evan Goldberg (screenplay)  Judd Apatow (story)  Seth Rogen (story)  Evan Goldberg (story), David Gordon Green, 7.0, R, tt0910936, 222649, Action  Comedy  Crime, Nominated for 1 Golden Globe. Another 3 wins & 6 nominations.
Zack and Miri Make a Porno, 2008, 31 Oct 2008, English, 101, Kevin Smith, Kevin Smith, 6.7, R, tt1007028, 140093, Comedy  Romance, 2 wins & 1 nomination.
The Other Boleyn Girl, 2008, 29 Feb 2008, English, 115, Peter Morgan (screenplay)  Philippa Gregory (novel), Justin Chadwick, 6.7, PG-13, tt0467200, 75563, Biography  Drama  History, 3 nominations.
Hancock, 2008, 2 Jul 2008, English, 92, Vincent Ngo  Vince Gilligan, Peter Berg, 6.5, PG-13, tt0448157, 290333, Action  Fantasy, 4 wins & 10 nominations.
Sex Drive, 2008, 17 Oct 2008, English, 109, Sean Anders (screenplay)  John Morris (screenplay)  Andy Behrens (book), Sean Anders, 6.6, R, tt1135985, 66839, Adventure  Comedy  Romance, N/A
Never Back Down, 2008, 14 Mar 2008, English, 110, Chris Hauty, Jeff Wadlow, 6.6, PG-13, tt1023111, 71934, Action  Drama  Sport, 1 win.
Forgetting Sarah Marshall, 2008, 18 Apr 2008, English, 111, Jason Segel, Nicholas Stoller, 7.2, R, tt0800039, 197236, Comedy  Drama  Romance, 2 wins & 13 nominations.
The Bank Job, 2008, 7 Mar 2008, English, 111, Dick Clement  Ian La Frenais, Roger Donaldson, 7.3, R, tt0200465, 141391, Crime  Drama  Thriller, 2 nominations.
Cloverfield, 2008, 18 Jan 2008, English, 85, Drew Goddard, Matt Reeves, 7.1, PG-13, tt1060277, 256293, Action  Sci-Fi  Thriller, 6 wins & 13 nominations.
Kung Fu Panda, 2008, 6 Jun 2008, English, 92, Jonathan Aibel (screenplay)  Glenn Berger (screenplay)  Ethan Reiff (story)  Cyrus Voris (story), Mark Osborne  John Stevenson, 7.6, PG, tt0441773, 253685, Animation  Action  Adventure, Nominated for 1 Oscar. Another 18 wins & 31 nominations.
Rambo, 2008, 25 Jan 2008, English, 92, Art Monterastelli  Sylvester Stallone  David Morrell (character), Sylvester Stallone, 7.1, R, tt0462499, 163437, Action  Thriller  War, 1 win.
The Strangers, 2008, 30 May 2008, English, 86, Bryan Bertino, Bryan Bertino, 6.2, R, tt0482606, 82940, Horror  Mystery  Thriller, 3 wins & 11 nominations.
The Mummy: Tomb of the Dragon Emperor, 2008, 1 Aug 2008, English, 112, Alfred Gough  Miles Millar, Rob Cohen, 5.2, PG-13, tt0859163, 103130, Action  Adventure  Fantasy, 2 wins & 6 nominations.
Fool's Gold, 2008, 8 Feb 2008, English, 112, John Claflin (screenplay)  Daniel Zelman (screenplay)  Andy Tennant (screenplay)  John Claflin (story)  Daniel Zelman (story), Andy Tennant, 5.6, PG-13, tt0770752, 52546, Action  Adventure  Comedy, 5 nominations.
Body of Lies, 2008, 10 Oct 2008, English, 128, William Monahan (screenplay)  David Ignatius (novel), Ridley Scott, 7.1, R, tt0758774, 155970, Action  Drama  Thriller, 2 nominations.
Changeling, 2008, 31 Oct 2008, English, 141, J. Michael Straczynski, Clint Eastwood, 7.8, R, tt0824747, 183331, Drama  History  Mystery, Nominated for 3 Oscars. Another 11 wins & 44 nominations.
You Don't Mess with the Zohan, 2008, 6 Jun 2008, English, 113, Adam Sandler  Robert Smigel  Judd Apatow, Dennis Dugan, 5.5, PG-13, tt0960144, 139719, Action  Comedy, 2 wins & 1 nomination.
Revolutionary Road, 2008, 23 Jan 2009, English, 119, Justin Haythe (screenplay)  Richard Yates (novel), Sam Mendes, 7.3, R, tt0959337, 137541, Drama  Romance, Nominated for 3 Oscars. Another 19 wins & 46 nominations.
21, 2008, 28 Mar 2008, English, 123, Peter Steinfeld (screenplay)  Allan Loeb (screenplay)  Ben Mezrich (book), Robert Luketic, 6.8, PG-13, tt0478087, 176557, Biography  Crime  Drama, 1 win & 5 nominations.
The Duchess, 2008, 10 Sep 2008, English, 110, Jeffrey Hatcher (screenplay)  Anders Thomas Jensen (screenplay)  Saul Dibb (screenplay)  Amanda Foreman (book), Saul Dibb, 6.9, PG-13, tt0864761, 53643, Biography  Drama  History, Won 1 Oscar. Another 5 wins & 19 nominations.
The Reader, 2008, 30 Jan 2009, English, 124, David Hare (screenplay)  Bernhard Schlink (book), Stephen Daldry, 7.6, R, tt0976051, 170748, Drama  Romance, Won 1 Oscar. Another 24 wins & 43 nominations.
Death Race, 2008, 22 Aug 2008, English, 105, Paul W.S. Anderson (screenplay)  Paul W.S. Anderson (screen story)  Robert Thom  Charles B. Griffith  Ib Melchior, Paul W.S. Anderson, 6.4, R, tt0452608, 151050, Action  Sci-Fi  Thriller, 1 win & 5 nominations.
Role Models, 2008, 7 Nov 2008, English, 99, Timothy Dowling (story)  W. Blake Herron (story)  Paul Rudd (screenplay)  David Wain (screenplay)  Ken Marino (screenplay)  Timothy Dowling (screenplay), David Wain, 6.9, R, tt0430922, 182838, Comedy, 1 win & 4 nominations.
Step Up 2: The Streets, 2008, 14 Feb 2008, English, 98, Toni Ann Johnson  Karen Barna  Duane Adler (characters), Jon M. Chu, 6.2, PG-13, tt1023481, 60008, Drama  Music  Musical, 2 wins & 3 nominations.
The Hottie & the Nottie, 2008, 21 Feb 2008, English, 91, Heidi Ferrer, Tom Putnam, 1.9, PG-13, tt0804492, 32019, Comedy  Romance, 4 wins & 4 nominations.
The Day the Earth Stood Still, 2008, 12 Dec 2008, English, 104, David Scarpa (screenplay)  Edmund H. North, Scott Derrickson, 5.5, PG-13, tt0970416, 129243, Drama  Sci-Fi  Thriller, 3 wins & 5 nominations.
Hellboy II: The Golden Army, 2008, 11 Jul 2008, English, 120, Guillermo del Toro (screenplay)  Guillermo del Toro (story)  Mike Mignola (story)  Mike Mignola (comic book), Guillermo del Toro, 7.0, PG-13, tt0411477, 189855, Action  Adventure  Fantasy, Nominated for 1 Oscar. Another 7 wins & 17 nominations.
Let the Right One In, 2008, 24 Oct 2008, Swedish, 115, John Ajvide Lindqvist (screenplay)  John Ajvide Lindqvist (novel), Tomas Alfredson, 8.0, R, tt1139797, 157754, Drama  Horror  Romance, Nominated for 1 BAFTA Film Award. Another 77 wins & 34 nominations.
Burn After Reading, 2008, 12 Sep 2008, English, 96, Joel Coen  Ethan Coen, Ethan Coen  Joel Coen, 7.0, R, tt0887883, 223028, Comedy  Crime  Drama, Nominated for 2 Golden Globes. Another 5 wins & 17 nominations.
The Chronicles of Narnia: Prince Caspian, 2008, 16 May 2008, English, 150, Andrew Adamson (screenplay)  Christopher Markus (screenplay)  Stephen McFeely (screenplay)  C.S. Lewis (novel), Andrew Adamson, 6.6, PG, tt0499448, 130113, Action  Adventure  Family, 2 wins & 19 nominations.
Bolt, 2008, 21 Nov 2008, English, 96, Dan Fogelman (screenplay)  Chris Williams (screenplay)  Byron Howard (additional screenplay material)  Jared Stern (additional screenplay material), Byron Howard  Chris Williams, 7.0, PG, tt0397892, 126953, Animation  Adventure  Comedy, Nominated for 1 Oscar. Another 1 win & 25 nominations.
The Wrestler, 2008, 30 Jan 2009, English, 109, Robert D. Siegel, Darren Aronofsky, 7.9, R, tt1125849, 236452, Drama  Sport, Nominated for 2 Oscars. Another 60 wins & 50 nominations.
The Spirit, 2008, 25 Dec 2008, English, 103, Frank Miller (screenplay)  Will Eisner (comic book series), Frank Miller, 4.8, PG-13, tt0831887, 51368, Action  Crime  Fantasy, 1 nomination.
Street Kings, 2008, 11 Apr 2008, English, 109, James Ellroy (screenplay)  Kurt Wimmer (screenplay)  Jamie Moss (screenplay)  James Ellroy (story), David Ayer, 6.8, R, tt0421073, 89130, Action  Crime  Drama, 1 nomination.
Eden Lake, 2008, 12 Sep 2008, English, 91, James Watkins, James Watkins, 6.9, R, tt1020530, 49010, Horror  Thriller, 9 wins & 6 nominations.
Get Smart, 2008, 20 Jun 2008, English, 110, Tom J. Astle  Matt Ember  Mel Brooks (characters)  Buck Henry (characters), Peter Segal, 6.5, PG-13, tt0425061, 154460, Action  Adventure  Comedy, 2 wins & 6 nominations.
Marley & Me, 2008, 25 Dec 2008, English, 115, Scott Frank (screenplay)  Don Roos (screenplay)  John Grogan (book), David Frankel, 7.1, PG, tt0822832, 104001, Comedy  Drama  Family, 2 wins & 4 nominations.
Doubt, 2008, 25 Dec 2008, English, 104, John Patrick Shanley (screenplay)  John Patrick Shanley (play), John Patrick Shanley, 7.5, PG-13, tt0918927, 91259, Drama  Mystery, Nominated for 5 Oscars. Another 32 wins & 68 nominations.
The Sisterhood of the Traveling Pants 2, 2008, 6 Aug 2008, English, 117, Elizabeth Chandler (screenplay)  Ann Brashares (novel), Sanaa Hamri, 6.2, PG-13, tt1018785, 20177, Comedy  Drama  Romance, 1 nomination.
Speed Racer, 2008, 9 May 2008, English, 135, Andy Wachowski  Lana Wachowski  Tatsuo Yoshida (animated series "Speed Racer"), Andy Wachowski  Lana Wachowski, 6.1, PG, tt0811080, 54185, Action  Family  Sport, 11 nominations.
Eagle Eye, 2008, 26 Sep 2008, English, 118, John Glenn (screenplay)  Travis Wright (screenplay)  Hillary Seitz (screenplay)  Dan McDermott (screenplay)  Dan McDermott (story), D.J. Caruso, 6.6, PG-13, tt1059786, 138300, Action  Mystery  Thriller, 3 wins & 8 nominations.
Star Wars: The Clone Wars, 2008, 15 Aug 2008, English, 98, Henry Gilroy  Steven Melching  Scott Murphy  George Lucas (characters and universe), Dave Filoni, 5.8, PG, tt1185834, 35800, Animation  Action  Adventure, 1 nomination.
Yes Man, 2008, 19 Dec 2008, English, 104, Nicholas Stoller (screenplay)  Jarrad Paul (screenplay)  Andrew Mogel (screenplay)  Danny Wallace (book), Peyton Reed, 6.9, PG-13, tt1068680, 245570, Comedy  Romance, 3 wins & 7 nominations.
Definitely  Maybe, 2008, 14 Feb 2008, English, 112, Adam Brooks, Adam Brooks, 7.2, PG-13, tt0832266, 118162, Comedy  Drama  Romance, 1 win & 1 nomination.
Teeth, 2008, 15 Feb 2008, English, 27, N/A, Alice Arnold, N/A, N/A, tt1413229, N/A, Short, N/A
10 000 BC, 2008, 7 Mar 2008, English, 109, Roland Emmerich  Harald Kloser, Roland Emmerich, 5.0, PG-13, tt0443649, 100110, Action  Adventure  Drama, N/A
Milk, 2008, 30 Jan 2009, English, 128, Dustin Lance Black, Gus Van Sant, 7.6, R, tt1013753, 123275, Biography  Drama  History, Won 2 Oscars. Another 67 wins & 103 nominations.
Australia, 2008, 26 Nov 2008, English, 165, Stuart Beattie (screenplay)  Baz Luhrmann (screenplay)  Ronald Harwood (screenplay)  Richard Flanagan (screenplay)  Baz Luhrmann (story), Baz Luhrmann, 6.6, PG-13, tt0455824, 94691, Adventure  Drama  History, Nominated for 1 Oscar. Another 11 wins & 30 nominations.
Nights in Rodanthe, 2008, 26 Sep 2008, English, 97, Ann Peacock (screenplay)  John Romano (screenplay)  Nicholas Sparks (novel), George C. Wolfe, 5.9, PG-13, tt0956038, 16157, Drama  Romance, N/A
Charlie Bartlett: Restroom Confessional, 2008, 24 Jun 2008, English, N/A, N/A, Karen Gehres, N/A, N/A, tt1404600, N/A, Short  Comedy, N/A
The Spiderwick Chronicles, 2008, 14 Feb 2008, English, 96, Karey Kirkpatrick (screenplay)  David Berenbaum (screenplay)  John Sayles (screenplay)  Tony DiTerlizzi (books)  Holly Black (books), Mark Waters, 6.6, PG, tt0416236, 61874, Adventure  Family  Fantasy, 2 wins & 8 nominations.
City of Ember, 2008, 10 Oct 2008, English, 90, Caroline Thompson (screenplay)  Jeanne Duprau (book), Gil Kenan, 6.5, PG, tt0970411, 47926, Adventure  Family  Fantasy, 4 nominations.
W., 2008, 17 Oct 2008, English, 129, Stanley Weiser, Oliver Stone, 6.4, PG-13, tt1175491, 38812, Biography  Drama  History, 1 win & 7 nominations.
Synecdoche  New York, 2008, 5 Feb 2009, English, 124, Charlie Kaufman, Charlie Kaufman, 7.4, R, tt0383028, 46231, Drama, 9 wins & 18 nominations.
Disaster Movie, 2008, 29 Aug 2008, English, 87, Jason Friedberg  Aaron Seltzer, Jason Friedberg  Aaron Seltzer, 1.9, PG-13, tt1213644, 69669, Comedy, 6 nominations.
Made of Honor, 2008, 2 May 2008, English, 101, Adam Sztykiel (screenplay)  Deborah Kaplan (screenplay)  Harry Elfont (screenplay)  Adam Sztykiel (story), Paul Weiland, 5.8, PG-13, tt0866439, 48714, Comedy  Romance, 1 win & 1 nomination.
Nick and Norah's Infinite Playlist, 2008, 3 Oct 2008, English, 90, Lorene Scafaria (screenplay)  Rachel Cohn (novel)  David Levithan (novel), Peter Sollett, 6.7, PG-13, tt0981227, 67432, Comedy  Drama  Music, 9 nominations.
High School Musical 3: Senior Year, 2008, 24 Oct 2008, English, 112, Peter Barsocchini  Peter Barsocchini (characters), Kenny Ortega, 4.3, G, tt0962726, 38614, Comedy  Drama  Family, 8 wins & 9 nominations.
The Making of 'Son of Rambow', 2008, 26 Aug 2008, English, 28, N/A, Phil Stoole  Damien Sung, 6.8, N/A, tt1389778, 14, Documentary  Short, N/A
Mirrors, 2008, 15 Aug 2008, English, 110, Alexandre Aja (screenplay)  Grégory Levasseur (screenplay)  Sung-ho Kim (Korean motion picture "Into the Mirror"), Alexandre Aja, 6.2, R, tt0790686, 78536, Horror  Mystery  Thriller, 2 nominations.
The Express, 2008, 10 Oct 2008, English, 130, Charles Leavitt  Robert Gallagher (book), Gary Fleder, 7.3, PG, tt0469903, 15062, Biography  Drama  Sport, 1 win & 2 nominations.
The Lazarus Project, 2008, 24 Oct 2008, English, 100, John Glenn (screenplay)  Evan Astrowsky (story), John Glenn, 6.2, PG-13, tt0464041, 11973, Drama  Mystery  Thriller, N/A
Forbidden Kingdom, 2008, N/A, N/A, N/A, Simon Kelton  Tony Lampard, N/A, N/A, N/A, tt1638896, N/A, Adventure, N/A
